otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Yakamoz Otel,"In addition to its excellent view, great location, it also has a wonderful team with their smiling faces and hospitality. Delicious food is also a plus.",10.0,"Posted May 13, 2024",Türkiye (Turkey),Stayed in May 2024,1 Review,Gold,Family,"Standard Double Room, Lanai, City View"
Yakamoz Otel,"Идеальное расположение и вид из номера, очень вкусные завтраки, рекомендую, особенно не в сезон (остров Гёкчеада в марте - прекрасен)",10.0,"Posted March 17, 2026",Russia,Stayed in March 2026,1 Review,Platinum,Couple,"Deluxe Room, Lanai, Sea View"
Yakamoz Otel,WE had a wonderful stay at the Yakamoz Hotel. Many tanks again to Selim and his whole team.,8.0,"Posted June 14, 2024",,Stayed in June 2024,,,Traveling with friends,
Yakamoz Otel,Otel konum olarak güzel bir yerde ve oda temizdi fakat oda temizliği 2-3 günde bir yapılıyor temizlik için gelen personel güler yüzlüydü ancak restoran kısmı tek kelimeyle özensizdi.,6.0,"Posted August 23, 2024",,Stayed in August 2024,,,,
Yakamoz Otel,"Cok temizdi, manzarasi efsane guzel:) Selim Bey ve ekibine cok teşekkür ederim.",10.0,"Posted July 28, 2024",,Stayed in July 2024,,,,
Yakamoz Otel,Şahane bir deneyimdi ve manzarası aşırı güzeldi..,10.0,"Posted August 16, 2024",,Stayed in August 2024,,,,
Yakamoz Otel,Yakamoz Otel. Manzarası ve konumu çok güzel. Kahvaltı çok iyiydi odalar temiz çalışanlar güler yüzlü ve ilgiliydi. Kesinlikle tavsiye edilir.,10.0,"Posted April 20, 2024",,Stayed in April 2024,,,,
Yakamoz Otel,"İyi Güzel Odamızın manzarası gerçekten şahaneydi, kahvaltı ortalamaydı, daha fazla şey beklerdik. Odada bir koku vardı, çözemedik, ilk gece uyumakta zorlandık bu sebeple. Banyo girdiğimizde temizdi, sıcak su ile ilgili bir sıkıntı yaşmadık. Bir daha gelsek, farklı bir yer arayışı içinde oluruz, bulamazsak yine tutabiliriz ama. Mekanın yeri oldukça iyi, kaleköy gerçekten gökçeada'da kalmak için çok iyi bir konum.",8.0,"Posted April 13, 2024",,Stayed in April 2024,,,,
Yakamoz Otel,"Although it is a bit old hotel, it stands out with its cleanliness and the attentiveness of the staff. The sheets and towels smelled wonderful. The breakfast was more than enough, since we love kitty, they made plenty of kitty for us :) The view is already priceless.",8.0,"Posted February 29, 2024",,Stayed in February 2024,,,Traveling with friends,
Yakamoz Otel,Tek kelime ike süper,10.0,"Posted August 11, 2024",,Stayed in August 2024,,,,
Yakamoz Otel,Odalar geniş ve tertemiz. Balkonu olması da ayrıca güzel. Her şey gerçekten güzel düşünülmüş. Ailemle birlikte 3 gece kaldım. Odamızın manzarası muhteşemdi. Balkondan denizi ve yakamozu seyredebildim. Personeller ilgiliydi. Bize çok yardımcı oldular. Kendimizi evimizde gibi hissettik. Kahvaltı çok lezzetliydi. Gökçeada’ya tekrar gidersem yine bu otelde kalmayı tercih ederim.,10.0,"Posted September 25, 2025",,Stayed in September 2025,,,,
Yakamoz Otel,İşletme misafirperver asla olumsuz dönüş yapmıyorlar manzara müthiş teşekkür ederiz tekrar görüşmek üzere 👋,10.0,"Posted September 20, 2025",,Stayed in September 2025,,,,
Yakamoz Otel,"Otelde Herkez çok ilgili, restoran bölümü güzel kahvaltısı mükemmeldi kahvaltı dahil diye güzel bişey beklemiyorum ama restorandaki serpme kahvaltı tarzındaydı hatta öyleydi. Çalışanlar çok yardımcı. Merkezi bir konumda , oda manzaramız mükemmeldi",10.0,"Posted July 17, 2025",,Stayed in July 2025,,,,
Yakamoz Otel,"Keyifli bir konaklama 3 arkadaş oldukça keyifli bir konaklama yaşadık. Konum, kahvaltı ve odamızın manzarası hepsi çok güzeldi. Tavsiyemizdir.",10.0,"Posted July 15, 2025",,Stayed in July 2025,,,,
Yakamoz Otel,"Oda idare ederdi , kahvaltı açık büfeden normal serpme kahvaltıya dönmüş",6.0,"Posted September 13, 2025",,Stayed in September 2025,,,,
Yakamoz Otel,"Odamız maalesef pisti, havlular öyle. Manzarası lokasyonu böyle harika olan bir yerin böyle özensiz bir tesise sahip olması üzücü. Sezon açılışında böyle bir hizmetle karşılaşıcağımızı düşünmemiştim. Umarım sezonda böyle devam etmez",4.0,"Posted June 1, 2025",,Stayed in June 2025,,,,
Yakamoz Otel,akşam yemeği için mutlaka düşünülmeli,10.0,"Posted October 6, 2025",,Stayed in October 2025,,,,
Yakamoz Otel,13-15 temmuz arası konakladık. 2 günlük rezervasyon yaptırmıştık ancak 1. Günü öğlen saatlerinde otel müdürü gelip siz halâ çıkmadınız mı diye bize cıkıştı. Üstelik otel ödemesini nakit istediler ve fatura vermediler. Gerekli mercilere bu konuda başvuracağım,2.0,"Posted July 15, 2024",,Stayed in July 2024,,,,
