otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Duja Bodrum,"Overall the hotel was good. Location is good, in a nice bay and easy access to Bodrum with the bus. The room with sea view in the main building was in a good condition and clean, compared to other reviews noting worn out rooms. The bed sheets were however worn out from use, they need to be replaced. Food was average, the best part were salads, meat options were repetitive and not that good, other than on a special occasion. Service was very average, at peak times as a guest I had to clean my own table and take my own cutlery. I was only few times offered a drink and mainly not. Some staff down speak much English. Not really a proper 5 star hotel but is good compared to the price paid. Full of families with small children.",8.0,"Posted May 20, 2026",United States,Stayed in May 2026,10 Reviews,Diamond,Solo traveler,
Duja Bodrum,"Excellent hotel, our first holiday and hotel, very satisfied, service, maintenance, everything.",10.0,"Posted May 26, 2026",Russia,Stayed in May 2026,2 Reviews,Gold,Couple,Village Standard Room
Duja Bodrum,"Great location, nice rooms, everything was great. Value for money.",10.0,"Posted July 30, 2026",Russia,Stayed in July 2026,17 Reviews,,Family,Village Standard Room
Duja Bodrum,"The hotel is generally good. The staff is very attentive. The food can be varied. Also, waiting for each meal is boring.",8.0,"Posted May 20, 2025",Türkiye (Turkey),Stayed in May 2025,1 Review,Gold,Family,
Duja Bodrum,"We had so much fun and laughed. Herzegovina was perfect, cleanliness was very good. We were constantly asked if we needed anything. They are very good as a team. Sometimes it can be intense, but that much can be considered normal.",10.0,"Posted May 5, 2024",Türkiye (Turkey),Stayed in May 2024,3 Reviews,Platinum,Family,
Duja Bodrum,"me and my boyfriend had the most AMAZING stay at duja bodrum! as soon as we arrived the staff were so accommodating and friendly, they offered us food straight away and helped us locate everything around the hotel (it’s huge). we stayed in the village room and honestly i have nothing bad to say, the view was unreal and the room itself was so clean and modern. mini fridge was stocked everyday with cans beer water etc. and the cleaner was so lovely. food was also amazing, there was multiple different restraunts which served different food so many options for people to choose from! we even had a free a la carte restraunt to choose from which we had asian and the food was 10/10. they also do a free starbucks throughout the day which was unbelievable. staff were so helpful and attentive, little bit of a language barrier sometimes but that is absolutely fine we just used our phones. entertainment was brilliant!! some really cool acts on, different things you haven’t seen before in other all inclusives. i absolutely loved our stay here at duja and we are planning on coming back very soon! definitely see why people come back every year. gorgeous hotel ❤️",10.0,"Posted May 22, 2026",,Stayed in May 2026,,,Couple,
Duja Bodrum,"Another fabulous stay in the stunning surroundings of Duja, The team were amazing and kept us entertained throughout our stay, looking forward to our next visit.",10.0,"Posted May 23, 2026",,Stayed in May 2026,,,Family,
Duja Bodrum,"We had an excellent stay at the Duja Hotel. The staff were friendly, the hotel was spotless, and everything was organised from start to finish. We also went on an amazing Brothers Boat Trip organised by Gokhan, which we highly recommend. Pick-up and drop-off were arranged, making the whole experience easy and stress-free. It was definitely one of the highlights of our holiday. Would definitely recommend this hotel and would love to return again!",10.0,"Posted May 7, 2026",,Stayed in May 2026,,,Traveling with friends,
Duja Bodrum,"I checked into the hotel this morning and have not yet had the opportunity to experience my room. However, my first impressions are unfortunately quite disappointing. There seems to be a serious lack of attention when it comes to restaurant service and general cleanliness. Used plates and tableware are left on tables for long periods without being cleared, both full and empty water bottles are left lying around, and the buffet appears incomplete, poorly maintained, and neglected. Even more surprisingly, members of the service staff were sitting in the restaurant and having breakfast together with guests during service hours. In my opinion, these are significant service and management issues for a hotel of this standard. Unfortunately, what I have observed within just the first few hours has not made a good first impression. I have not yet seen or experienced my room, so I will update my review later with my impressions of the room and the rest of my stay.",4.0,"Posted August 24, 2026",,Stayed in August 2026,,,,
Duja Bodrum,Only think that i can say about the view was the best but the rest food was not good at all not organised everything everywhere and if you want to go beach was long journey if you forgot something or if you need to go your room it was same long journey have to do it !!for 5 stars hotel i was not expecting this!!,6.0,"Posted August 23, 2026",,Stayed in August 2026,,,,
Duja Bodrum,"Beautiful setting, but far too basic and poorly maintained An economical resort in terms of price, but unfortunately extremely basic. The views are impressive and very relaxing, and the sea is simply wonderful. However, the resort is very spread out, which can become tiring, especially during a shorter stay, as it is quite possible not to reach or experience all the activities and restaurants available. The hotel is basic in almost every aspect. Cleanliness, in my opinion, should always be a top priority, regardless of how economical a hotel is. While the rooms were cleaned daily, the overall standard of cleanliness was disappointing. The windows and mirrors looked as though they had not been properly cleaned for a long time. The bedsheets barely stayed in place and were not comfortable at all. The shower towels were very old and had turned grey, which unfortunately gave the impression that they were not clean. Even the tablecloths did not appear to be changed after previous guests left; they were simply turned over and used again. The staff service, however, was good and friendly. One particular highlight was the gözleme — probably the best I have ever had during all my years of holidays in Turkey. The lady making them had such beautiful, kind eyes that seemed to radiate warmth and love, and you could feel the same warmth in the gözleme she prepared. The food overall was average and, unfortunately, often rather lukewarm. Breakfast was particularly disappointing. If you arrived early, some items were not yet available, while other dishes appeared later. In a resort, I believe all the food should be available from the moment the restaurant opens for that meal. Lunch at the main restaurant was also rather mediocre, with mostly junk-food alternatives available at the snack restaurants. Dinner offered somewhat more variety, and the desserts were quite tasty. Fresh fruit, however, was very limited and not properly cleaned. We even found a small worm and a hair in the green salad, which was certainly unpleasant. The beach itself is beautiful, although the available space is limited. The beach umbrellas, however, were absolutely unacceptable — extremely low, unstable and, in my opinion, actually dangerous. You could easily hurt yourself at any moment. They definitely need to be replaced. The sea, on the other hand, was magnificent. The public bathrooms around the resort were kept relatively clean, but the toilets and changing room in the sauna area were a completely different story. The shower was in terrible condition, and the changing room was completely open, offering practically no privacy. This was probably the worst changing-room experience I have encountered. The Turkish coffee was also very poorly prepared, and the internet was practically non-existent. One thing that left a particularly bad taste was the situation with the à la carte restaurant. The factsheet stated that guests staying for five nights or more were entitled to one à la",4.0,"Posted August 20, 2026",,Stayed in August 2026,,,,
