otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Rammos Managed By Dedeman,"Beautiful hotel and beach with lush green grounds. The breakfast was mediocre, and the location wasn't great – no cafes or shops nearby. Taxis weren't readily available, but public transport was, which saved us. Room cleaning was very infrequent.",7.0,"Posted July 30, 2026",Russia,Stayed in July 2026,9 Reviews,Platinum,Family,Superior Room with Double Bed and Sofa Bed
Rammos Managed By Dedeman,"The hotel staff are very kind and helpful. The hotel itself is nice. Our only criticism is that we were expecting a buffet breakfast but received a 'serpme' (spread) breakfast instead. Also, having to cross a street to get to the sea is a bit inconvenient. Other than that, it's a good hotel.",9.0,"Posted June 22, 2026",Türkiye (Turkey),Stayed in June 2026,11 Reviews,Diamond,Family,Superior Room with Double Bed and Sofa Bed
Rammos Managed By Dedeman,"The staff were excellent, especially Ibrahim (a Turkish staff member who speaks Arabic). He was very respectful, helpful, and refined. Regarding cleanliness, I believe the bathrooms need maintenance or a deeper clean as they had an odor.",7.0,"Posted August 17, 2026",Saudi Arabia,Stayed in August 2026,13 Reviews,Diamond,Solo traveler,Superior Room with Double Bed and Sofa Bed
Rammos Managed By Dedeman,It's a beautiful hotel and we had a lovely vacation.,9.0,"Posted July 27, 2026",Türkiye (Turkey),Stayed in July 2026,3 Reviews,Platinum,Traveling with friends,Superior Room with Double Bed and Sofa Bed
Rammos Managed By Dedeman,"Staying at Rammos managed by Dedeman was an absolute nightmare and a complete disgrace to the Dedeman brand. • Staff & Service: The staff’s behavior was shockingly rude, unprofessional, and dismissive. There was no respect, no courtesy, and no sense of responsibility toward guests. • Cleanliness & Maintenance: The room was dirty, poorly maintained, and clearly neglected. Hygiene standards were completely unacceptable. • Overall Experience: From check-in to check-out, every aspect of this hotel was deeply disappointing. The service was careless, the atmosphere was unwelcoming, and the value for money was nonexistent. This hotel does not meet even the most basic expectations of hospitality. I strongly warn anyone considering this property: do not waste your time or money here. It is, without a doubt, one of the worst hotel experiences I have ever had.",2.0,"Posted September 5, 2025",Saudi Arabia,Stayed in August 2025,1 Review,Gold,Traveling with friends,
Rammos Managed By Dedeman,"The hotel consists of separate buildings, there's no elevator, the buildings are maximum 2 stories high, which makes it pleasant. The area around the hotel is green and nice, it has its own beach, the sea is beautiful, and there's a path between the beach and the hotel. You should be careful when crossing the road, as there is security guard on duty.",7.0,"Posted July 18, 2026",Türkiye (Turkey),Stayed in July 2026,1 Review,Gold,Couple,Deluxe Double Room with Balcony
Rammos Managed By Dedeman,"The hotel is new and very clean. The staff is very nice. The food is superb. Everything was great. I won't stay at any other hotel from now on. Let's not forget the sea and the beach, they are wonderful.",10.0,"Posted May 20, 2025",Türkiye (Turkey),Stayed in May 2025,2 Reviews,Platinum,Couple,
Rammos Managed By Dedeman,"Oldukça zor ve sıkıntılı bir günün ardından bizi Resepsiyonda bizi güler yüzlü karşılayan personele teşekkür ediyoruz .Deniz ve sahil muhteşem,odalar temiz ve modern.",9.0,"Posted August 23, 2026",Türkiye (Turkey),Stayed in August 2026,1 Review,Gold,Family,Deluxe Double Room with Balcony
Rammos Managed By Dedeman,War alles sehr Sauber,10.0,"Posted August 25, 2026",,Stayed in August 2026,1 Review,,Family,Deluxe Double Room with Balcony and Sea View
Rammos Managed By Dedeman,"All staff at Rammos were delightful, especially Kasım, at Reception who was wonderful and always went above and beyond with his assistance. Beautiful scenery at the hotel and always clean. Breakfast was great but would have preferred a buffet style with more hot food selection rather than just eggs.",10.0,"Posted June 21, 2026",,Stayed in June 2026,,,Family,
