otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Elista Hotel & Spa,Amazing breakfast served and very helpful staff.,8.0,"Posted May 5, 2026",,Stayed in May 2026,,,,
Elista Hotel & Spa,"Nicely maintained rooms and great breakfast. Friendly welcome as well. Beachfront position. But the resort is a bit expensive vs. facilities available. Beach experience lacks intimacy and seats for all the guests. Despite good level of standards, it remains a disappointment overall, especially in high season.",6.0,"Posted September 11, 2025",,Stayed in September 2025,,,Couple,
Elista Hotel & Spa,"I had a booking in this hotel, of course I booked this place according to the photos and the reviews. When my wife and I got there, we just got shocked!!! Actually it doesn’t look like the photos at all!! It’s so small as it’s beach, the area is just a disaster. When we saw this, we just turned back and left the area as fast as possible and went to city center area. Never book this place or any hotel in the same area, NEVER EVER!!",2.0,"Posted September 11, 2025",,Stayed in September 2025,,,Couple,
Elista Hotel & Spa,"I couldn’t wait to share how special this place is. From the very beginning — even before we arrived — we were welcomed not just as guests, but as if we were returning friends. The booking process over WhatsApp was smooth and kind, with Kamil and Bayram at the reception being incredibly helpful and efficient. Knowing I was traveling with my 80-year-old mother, they even sent me a video to show the exact steps and entrance — such a thoughtful gesture that made us feel safe and cared for before we even stepped into the hotel. Once we arrived, that same spirit continued. The entire team may not speak fluent English, but their kindness, generosity, and heartfelt attention spoke volumes — far more meaningful than words. Every single member of the staff was warm, present, and genuinely attentive, especially to my mother. Their care made all the difference in our stay. ⸻ Room (S01 – Honeymoon Suite): Every detail has been thoughtfully considered — from soft-close drawers and bedside sockets to a serene balcony with both sunrise and moonrise views. There’s a cozy little gourmet corner with kettle, teas, coffee, and fridge. The bathroom is compact but perfect, with excellent water pressure and lovely, high-quality products (the shampoo and shower gel smell divine). Housekeeping was spotless — our room was taken care of daily by two kind, attentive ladies (Suraya and Medine) who never let us run out of water, towels, or anything we might need. 💧 It’s a wet-style shower — so yes, the bathroom floor can get wet if you’re not careful 😂 But it’s the same in my own home, so I felt right at home! 😉 I brought my laptop to watch films and series and ended up not even needing the TV. The Wi-Fi worked perfectly. 👉 A thoughtful detail worth mentioning: The sliding glass door to the balcony is sound-insulated, which is ideal since Türkbükü is a lively area — yet inside the room, it feels calm and quiet when the door is shut. The air conditioning is also cleverly designed: it only activates when the balcony door is fully closed, which not only helps with energy efficiency but also ensures that the room stays cool effectively. You can easily control the temperature and fan speed — everything works smoothly and intuitively. ⸻ Breakfast is a true Turkish feast — varied, generous, fresh, and delicious. The pool stays warm from the sun all day — my mum loved it in the late afternoon before sunset. ⸻ The Sea Deck — a hidden gem: The deck area is pure bliss. The sea is calm, crystal clear, and truly feels like a private pool. The gentle steps made it super easy even for my 80-year-old mother to enjoy a refreshing swim. There’s a shower right after, and the whole setup is serene and simple. But what truly made this area shine was the wonderful host at the deck — (Fatih— who, by the way, wears the coolest shirts in Türkbükü). He is kind, attentive, and incredibly generous with his time and energy. Not only does he care for the guests with sincere warmth, but he also",10.0,"Posted June 17, 2025",,Stayed in June 2025,,,Family,
Elista Hotel & Spa,"This hotel is undoubtedly one of the most beautiful places to stay in Türkbükü, Bodrum. The rooms are absolutely stunning, with gorgeous and tasteful decor that creates a truly luxurious feel. I was particularly impressed with the hotel's pier and bar area – it's such a delightful spot to relax and enjoy the beautiful surroundings. I highly recommend this hotel to everyone looking for a memorable and enjoyable stay in Bodrum!""",10.0,"Posted May 4, 2025",,Stayed in May 2025,,,,
Elista Hotel & Spa,"Very nice staff , quiet location",10.0,"Posted October 15, 2025",,Stayed in October 2025,,,,
Elista Hotel & Spa,"The most charming bijoux hotel. Delightful staff who could not have been more helpful, clean well appointed rooms, and great breakfast of local foods. If you want an authentic sea side experience this is the place for you. I had a lovely time.",10.0,"Posted October 1, 2024",,Stayed in October 2024,,,,
Elista Hotel & Spa,"I recently stayed at this hotel in Bodrum, Turkbuku, an area I’m very familiar with. The overall design of the hotel is quite eye-catching, and the rooms were spacious, nicely decorated, and appeared clean. However, I had a few issues during my stay. First, the bedding: there was only one twin blanket provided on a queen-sized bed, which was uncomfortable for two people. Additionally, the room lacked basic amenities such as a coffee machine, water, or a kettle with complimentary drinks—something I would expect for early mornings or late nights spent in the room. Breakfast was decent, nothing spectacular, but not bad either. The beach area was a nice touch, and I appreciated the hotel providing towels for the beach. The Turkish coffee was great, but I ordered an iced latte, and unfortunately, there were coffee kernels in it, and the espresso itself wasn’t to our taste. Lunch was also just average, not bad, but nothing special. We paid $260 for the night on a deal, only breakfast included, though the regular price is listed at $300. At this price point, I expected more in terms of services and amenities. Overall, while the design and some aspects of the stay were pleasant, I believe the hotel could improve on the little details that make a stay truly comfortable and worth the price.",6.0,"Posted September 9, 2024",,Stayed in September 2024,,,,
Elista Hotel & Spa,"Good location, clean beautiful sea",10.0,"Posted June 23, 2025",,Stayed in June 2025,,,Business traveler,
Elista Hotel & Spa,"Property is OK in terms of facilities and well located, but could benefit from more of a service culture from the staff.",8.0,"Posted August 31, 2024",,Stayed in August 2024,,,,
