otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
No81 Hotel,"The suits are very big, it's an expensive hotel but the bar area is amazing and the food is superb. The rooms can use some maintenance. personell are great.",9.5,"Posted October 17, 2025",Netherlands,Stayed in October 2025,1 Review,Gold,Couple,Suite Senior Suite Panaromic Sea View
No81 Hotel,Nice place to stay,10.0,"Posted September 11, 2023",United Kingdom,Stayed in September 2023,4 Reviews,Gold,Couple,Standard Room With Sea View
No81 Hotel,"Fabulous on all fronts, a few days here for my daughter’s wedding. Everything looked after beautifully by Ethem, as close to faultless as possible. There are less expensive hotels, but the level of service justifies the price.",10.0,"Posted June 11, 2026",,Stayed in June 2026,,,,
No81 Hotel,"We had a wonderful experience - would highly recommend. Great staff, amazing food, overall one of the best hotels we have ever been to. We would 100% return for another trip - better than any resort in the United States or Europe at a very competitive price.",10.0,"Posted May 31, 2025",,Stayed in May 2025,,,Couple,
No81 Hotel,"From the moment we entered our hotel, the parking attendant, the receptionist, everyone is extremely helpful. And they were very, very successful with incredible service The food is really good, but since the prices are the price of the bodrum, you have to meet normally for this style of A+ places.",10.0,"Posted May 19, 2025",,Stayed in May 2025,,,Couple,
No81 Hotel,"This is a beautiful property and I would say it’s a great place to stay but I don’t think the value is there. The rooms are poorly designed and the service in the dining areas was hit or miss. Don’t get me wrong, some staff were amazing. But not all. It was a problem to ask multiple times for the same item and it never arrived. The location is stunning. I would recommend if there weren’t other places of better value in the area. It is a place for the locals, and they treated us like that. If you speak Turkish, it will take you far here!",8.0,"Posted July 8, 2025",,Stayed in July 2025,,,Traveling with friends,
No81 Hotel,"Beautiful boutique hotel with regular sized rooms. Very clean , staff was great , service was great. Food was good. Classy crowd of guests staying at the hotel. Great choices of food offered at the restaurant. The tanning area was great offering free towel service",10.0,"Posted November 18, 2024",,Stayed in November 2024,,,Couple,
No81 Hotel,"I stayed at no.81 in May 2025. This was my first time in Bodrum. Great location, very professional, lovely crew. Great breakfast and beach. Türkbükü is one of hot spots in Bodrum. The hotel is right in front of the beach. I enjoyed my 2 nights stay a lot at no.81. Highly recommended.",10.0,"Posted May 4, 2025",,Stayed in May 2025,,,,
No81 Hotel,"Upon check in I was escorted to my room which was up 4 flights of stairs and then down another flight of stairs to my room. If walking and carrying your luggage is an issue. Be aware. The gentlemen just opened the door to the room with no explanation of anything. The room was very basic. The shower was quite dirty with mold and didn’t drain. Upon request to clean nothing was corrected. The positives. The sun deck, beds and restaurant were excellent. The staff were fantastic as well. Don’t think I would stay here again for $800 USD a night.",8.0,"Posted July 30, 2024",,Stayed in July 2024,,,Traveling with friends,
No81 Hotel,"Above expectations, we met as a small group of high school friends and had a blast, four days in a row. Weather was fantastic, crystal clear waters, very nice ambience. Afternoon and happy hour; we did not want it to end. And dinners and nice music was just top of the line, thanks to all who made this so unforgettable.",10.0,"Posted October 30, 2024",,Stayed in October 2024,,,Traveling with friends,
No81 Hotel,"Really terrible small rooms, you can hardly move in the rooms The sea is not clean at all,Good B/fast and good food ,the sun deck area its really cramped you have the lounge beds next to each other and you have Zero privacy my advise is to avoid it",4.0,"Posted October 29, 2024",,Stayed in October 2024,,,Couple,
No81 Hotel,"Great place for quality/price given Bodrum is quite expensive. Staff could use more training and poor English in some cases, so go with patience. Gorgeous scenery. Overall I’d recommend this place.",8.0,"Posted August 4, 2024",,Stayed in August 2024,,,,
No81 Hotel,Tüm camlar kapalı olmasına rağmen iskeledeki müziğin sesinden gece 2 ye kadar uyuyamıyorsunuz . Üstüne üstlük Resepsiyonu aradığınızda sizi aktarıyorum diyip telefonu kapatıp sonrası hem oda telefonu hem dış hat telefonu bütün gece açmıyor,2.0,"Posted June 14, 2024",,Stayed in June 2024,,,,
No81 Hotel,"We stayed here with my fiance in the beginning of June. The hotel is very well located, staff is super friendly and kind, food is flawless and drinks are at top level, beverage selection is superb and offers a wide variety. We will be back sure!",10.0,"Posted June 12, 2024",,Stayed in June 2024,,,,
No81 Hotel,This exquisite boutique hotel in the exclusive seaside French Riviera of Turkey known as Bodrum is utter paradise. The owner Pamir GM Ethem and food/beverage director Berkehan curate flawless hospitality that is blended with perfect Mediterranean cuisine in a serene setting as they become incredible friends on your getaway. Awesome DJ spins great music in the evenings while perfect cocktails are the balms for your soul. The perfect shangri la I am so hooked. Cannot wait till my next visit. This hotel has my heart.,10.0,"Posted June 3, 2024",,Stayed in June 2024,,,Solo traveler,
No81 Hotel,A most gorgeous boutique hotel nestled by the ocean in the the perfect spot of this riviera of Turkey. Impeccable service and a grade AA oceanfront bar and restaurant that serves an authentic Turkish breakfast seals the deal. A top notch in room massage was organized while the charm of this modern contemporary property by all the seaside nightlife made you want to not leave the hotel and enjoy the stunning sea views of the Aegean. General manager Ethem is always a call away for making any wish come true. This property is my new addiction and I cannot wait to return.,10.0,"Posted June 1, 2024",,Stayed in June 2024,,,Traveling with friends,
No81 Hotel,"October was a time when most places in Türkbükü were closed, and No81 Hotel was perfect with its location, superb sea, food, and staff service. The family atmosphere it created made it feel like home. The Daze Restaurant, located within the hotel, serves a beach menu during the day and elegantly presented chef's plates at night.",10.0,"Posted October 7, 2024",,Stayed in October 2024,,,Couple,
No81 Hotel,VASAT TEMİZLİK Otel çok pisti odalar korkunç derecede pisti beyaz terliklerin altı silinmesine rağmen her gün siyaha dönüşüyordu. Tuvalet pastan geçilmiyordu duş başlığı bile pastı tuvaletten lağım kokusu geliyordu. Banyodaki etro set ve kahvaltı dışında memnun bir şey beklemeyin. Baş avlusunda fondöten lekesi vardı ve bornozlar kokuyordu. otoparktan odamıza yarım saat gidemedik domuzlardan dolayı. Güvenlikte ise kulübede sadece küçük bir kedi vardı gece kapıyı açmak için irtibat bulamadık.,2.0,"Posted October 21, 2024",,Stayed in October 2024,,,,
No81 Hotel,Bahçe çok keyifli Lezzetli kahvaltı Meyve yok😞 Odalar eski Misafir ilişkileri çok iyi,8.0,"Posted August 13, 2026",,Stayed in August 2026,,,,
No81 Hotel,Herşey gerçek anlamda çok keyifliydi ve hizmet olarak gerçekten fazlasıyla ilgiliydiler her anlamda yardımcı oldular kesinlikle tekrar tercih ediceğimiz bir hotel,10.0,"Posted July 28, 2025",,Stayed in July 2025,,,Couple,
No81 Hotel,"terazi otelin personelinin acemi , tutarsız ve ukala tavırları bezdirici olsa da tesisin konumu iyi",8.0,"Posted July 7, 2025",,Stayed in July 2025,,,,
No81 Hotel,"El lugar es un paraíso, la vista, las personas, fue una experiencia mágica, es imposible olvidar el paseo a las ruinas, la vista desde mi habitación, la alegría del público cuando hicimos la presentación con la orquesta,en fin vacaciones como estás son imposibles de olvidar. Turquía te llevó en mi corazón!!! Gracias",10.0,"Posted May 6, 2025",,Stayed in May 2025,,,Business traveler,
No81 Hotel,"Harika bir tatildi, simdiden gelecek sene rezervasyonlari ne zaman acilacak diye sorduk bile :) otel, plaj, servisler, oda her sey ayri ayri muazzamdi, seneye gorusmek dilegiyle… Metin Bey ve Jankat Bey’e ayrica tesekkur ederiz :) Pinar",10.0,"Posted May 4, 2025",,Stayed in May 2025,,,Family,
No81 Hotel,"Ailem ile evimde hissettiğim, samimi ve ölçülü personeli ile konfor içinde, lezzeti, kaliteyi doyasıya yaşadığımız dört dörtlük bir tesis. Sabah yürüyüş ardından pırl pırıl denizde serinleyip lezzetli kahvaltı servisi bütün yorgulukları alıyor . Tatllimiz hiç bitmesin istiyoruz. Kesinlikle tavsiye ediyoruz",10.0,"Posted October 29, 2024",,Stayed in October 2024,,,Family,
No81 Hotel,"“Bu otelde geçirdiğimiz dört gün boyunca her şeyden çok memnun kaldık. Yemekler gerçekten çok lezzetliydi ve sunumlar harikaydı. Odamız oldukça konforluydu, her gün özenle temizlendi ve tüm ihtiyaçlarımız karşılandı. Ayrıca, otel çalışanlarının güler yüzlü ve misafirperver tutumu tatilimizi daha da keyifli hale getirdi. Kendimizi evimizde gibi hissettik. Bodrum’da konaklama yapmayı düşünen herkese gönül rahatlığıyla tavsiye ederim!”",10.0,"Posted October 29, 2024",,Stayed in October 2024,,,Traveling with friends,
No81 Hotel,"Bir otel sadece sahipleriyle değil tüm personeli, tüm müşterileri ve natta tüm eşyalarıyla CANDAN olur mu? No 81’de oluyor işte. Anlatılmaz yaşanır. Ancak gidince ne demek istediğimi anlarsınız. No 81 otel eğer bir insan olsaydı şöyle tanımlayabilirdim. Müthiş kaliteli dost sempatik klas doğal rafine lezzetli Ve görsel bir şölen seyrettiğiniz bir film gibi derdim",10.0,"Posted October 29, 2024",,Stayed in October 2024,,,Traveling with friends,
No81 Hotel,Tüm ekibin güler yüzlü ve hayvan dostu olması harika . Çok memnun kaldığımız bir konaklama oldu .,10.0,"Posted June 4, 2025",,Stayed in June 2025,,,,
No81 Hotel,Mükemmel İkinci kez konakladığımız bir otel. Bu mevsim için gelinebilecek en güzel otellerden. Sakinlik ve huzur arıyorsanız aradığınız yer burası. Kahvaltısı çok yeterliydi. Çalışanlar da güleryüzlü ve ilgiliydi. Odalar da ***et temizdi. Seneye tekrar görüşmek üzere 🤗,10.0,"Posted October 6, 2024",,Stayed in October 2024,,,,
No81 Hotel,Günübirlik gittik. Çok keyifli bir beach ve restoran. Denizi çok güzel. Görevliler çok ilgili. Hepsi arı gibi çalışıyorlar. Çok saygılılar. Şezlonglar çok rahat. Yemekler güzel. Otoparkı yok ama vale var. Deniz kenarı duşları ve soyunma odaları çok konforlu.,10.0,"Posted August 2, 2024",,Stayed in August 2024,,,Family,
No81 Hotel,Limpeza muito ruim Quando chegamos nosso quarto estava com sujeira no banheiro do hóspede anterior Em baixo da cama também muito sujo,6.0,"Posted August 13, 2024",,Stayed in August 2024,,,,
No81 Hotel,"Otelin bir önde denize yakın kısmı var bir de arka bölümü.Biz ön kısımda kaldık.Oda dan çıkıp kahvaltıya ,yemeğe ,denize yürümek 1 dakika.Denizi enfes.Lokasyon şahane.Ama en güzeli Daze restoran otelin öğlen /aksam ve Beach kısmına hizmet veriyor.Yedigimiz hersey müthiş lezzetliydi.Degisiklik olsun diye çıkıp yediğimiz hiçbir yerde böyle lezzet yoktu. Odalar temiz.yataklar rahat.Klima sessiz.Mitsubishi. Gece müzik sesi var .Ama ben ve arkadaşlarım rahatsız olmadık. Benden 10 üzerinden 9.5",10.0,"Posted July 8, 2024",,Stayed in July 2024,,,Traveling with friends,
No81 Hotel,"Ayrılırken aklınızın kalacağı No81 Hotel.. Deniz iskele odalar manzara mükemmel,tertemiz,yemekler lezzetli,personel nazik,ilgili..Bir dediğimizi ikiletmeyen işletme anlayışı ile son derece memnuniyet verici. Son yıllarda gittiğim otellerin arasında, başka yere gitmem dedirtti.Bodrum Türkbükü bölgesinin en gidilesi tek oteli bence.",10.0,"Posted May 29, 2024",,Stayed in May 2024,,,Couple,
No81 Hotel,"Odalar, yemekler, müzik, konum, sahil harika. Beach çalışanları tam bir kaos. Kesinlikle toparlanması lazım.",10.0,"Posted April 21, 2024",,Stayed in April 2024,,,,
No81 Hotel,"Güzel, keyifli ve huzurlu bir tatil deneyimi oldu .",10.0,"Posted October 30, 2024",,Stayed in October 2024,,,,
No81 Hotel,"İnsan kalitesi, servis, yemekler ***et başarılı.",8.0,"Posted July 24, 2024",,Stayed in July 2024,,,,
