otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Palmalife Bodrum Resort & Spa,"It was the worst hotel experience we have ever had and we left the hotel 2 hours after we checked in. The hotel was very abandoned, like a ghost hotel. The pool was covered in moss, the shower heads were moss, the boards around the pool were broken. The staff was providing service as if they were running a hotel and not on holiday, as if we came to a government office. There was humidity in our room, so we were completely disappointed.",2.0,"Posted September 8, 2024",Türkiye (Turkey),Stayed in September 2024,3 Reviews,Gold,Family,
Palmalife Bodrum Resort & Spa,The atmosphere is very welcoming and serene. We enjoyed our stay a lot . The staff was very kind especially Melek . She was so helpful,10.0,"Posted July 10, 2026",,Stayed in July 2026,,,,
Palmalife Bodrum Resort & Spa,"The hotel is located on a beautiful sea front, quiet and charming. The staff are always focused on the happiness of the guest. The room was very comfortable and well equipped. The air conditioning worked well. The location of the resort is close to the downtown, main attractions and amazing local restaurants.",10.0,"Posted April 10, 2026",,Stayed in April 2026,,,Couple,
Palmalife Bodrum Resort & Spa,"Not as expected. The room felt not clean and was dusty. The drain in the shower smelt bad everytime you opened the shower. The air condition stopped working after a couple of hours after check-in. It could not be operated on the panel in the room, but after calling the reception twice it got turned on suddenly. The toilet in the pool area was missing toilet paper, and even after telling the employees nothing happend. The hotel’s location it perfect, and very nice view. But that was also the only good thing about it.",4.0,"Posted September 22, 2025",,Stayed in September 2025,,,,
Palmalife Bodrum Resort & Spa,staff is friendly- and close to everything 15 min taxi to new marina / other good parts,10.0,"Posted August 16, 2024",,Stayed in August 2024,,,,
Palmalife Bodrum Resort & Spa,"Upon check-in, we asked to see our room. We booked a room with a sea view. However, the room initially looked out onto the courtyard and then onto the sea beyond the hotel building. We asked to change to a room with a direct sea view. They gave us one, but it was full of ants and the air conditioner blew directly onto the bed. We asked to return the first one shown or to change it for an additional fee. We were told there were no rooms available. However, the hotel's official website listed rooms. The hotel is old, and the staff is unwilling to address the issue. We do not recommend it.",4.0,"Posted August 14, 2026",,Stayed in August 2026,,,,
Palmalife Bodrum Resort & Spa,"This was a hotel I stayed at as an external participant during a business trip. The pool bar staff, and especially Ms. Safiye, were wonderful; her attentiveness, friendliness, and professionalism were so evident. They are very lucky to have such an employee. See you next time. I will definitely come back.",10.0,"Posted August 4, 2026",,Stayed in August 2026,,,,
Palmalife Bodrum Resort & Spa,"I enjoyed my stay very much. I especially want to thank the staff for their attentiveness. The hotel had only recently opened, but they quickly resolved all my issues.",10.0,"Posted June 10, 2026",,Stayed in June 2026,,,,
Palmalife Bodrum Resort & Spa,"It was a wonderful experience. The hotel was well-prepared for the season, the food was delicious, and the service was fast. It's a bit far from the city center, so you need a taxi to get there. However, the location, atmosphere, and views are truly unique. I highly recommend it. A special thank you to the front desk team for their warm welcome and farewell.",10.0,"Posted June 10, 2026",,Stayed in June 2026,,,,
Palmalife Bodrum Resort & Spa,Fb ekini ve gürkan beye ayrıca teşkler ilgi ve alakalarından dolayı herşey mükemmeldi,10.0,"Posted July 24, 2026",,Stayed in July 2026,,,,
Palmalife Bodrum Resort & Spa,"Ein unglaublich schönes Hotel, absolut zu empfehlen. Hier bleibt kein Winsch offen.",10.0,"Posted July 25, 2026",,Stayed in July 2026,,,,
Palmalife Bodrum Resort & Spa,Otel çok pisti,4.0,"Posted June 5, 2025",,Stayed in June 2025,,,,
