otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Spektr Boutique Hotel Yalikavak,"Pros: location near Yalikavak Marina and town. Have multiple swimming pools no overcrowding, Breakfast menu. La Lara restaurant. Cons: No direct beach access.",9.5,"Posted August 16, 2026",,Stayed in August 2026,9 Reviews,Diamond,Family,Suite With Sea View
Spektr Boutique Hotel Yalikavak,"I had the most amazing stay at the hotel. I was welcomed by a very kind gentleman who made sure that I was satisfied with my room and arranged my transportation to locations I wanted to go too. The hotel is very clean with amazing views of the Yalikavak Town. Very close to ocean front restaurants and also the Marina. I can’t recommend this place enough. Not to mention the breakfast which was included, absolutely amazing. I’m so grateful to the stuff, they were amazing and I’m coming back soon!",9.0,"Posted April 22, 2025",United Arab Emirates,Stayed in April 2025,1 Review,Platinum,,Deluxe Room With Sea View
Spektr Boutique Hotel Yalikavak,Thank you!,10.0,"Posted July 24, 2026",Saudi Arabia,Stayed in July 2026,5 Reviews,Diamond,Traveling with friends,Deluxe Room With Sea View
Spektr Boutique Hotel Yalikavak,"Very nice and helpful reception staff. Room quite spacious and good view (as requested). Windows could be more soundproof (heard a dog barking and hotel guests discussing on their balcony at 3am). The fitness room is quiet small and the way there complicated. As good as the idea of several pools is, I would prefer 1-2 big pool/s. The price is far too high but that is Yalikavak.",8.0,"Posted September 5, 2023",Slovenia,Stayed in August 2023,52 Reviews,Diamond,Solo traveler,Deluxe Room With Sea View
Spektr Boutique Hotel Yalikavak,"Amazing view, great breakfast. Great for romantic events.",8.5,"Posted April 6, 2024",Türkiye (Turkey),Stayed in January 2024,7 Reviews,Diamond,Couple,Standard Room With Garden View
Spektr Boutique Hotel Yalikavak,"It's a very comfortable seaside resort hotel with great views. If time allows, you can stay for two more days. Breakfast is à la carte and the food is very thoughtfully prepared. The rooms are comfortable and the service is excellent.",10.0,"Posted December 6, 2025",,Stayed in November 2025,15 Reviews,,Traveling with friends,Standard Room With Garden View
Spektr Boutique Hotel Yalikavak,"It is very good for a boutique hotel, I mean like a 5-star hotel, the rooms are clean and spacious, the breakfast is also very good and tasty, but of course it is not as diverse as an open buffet, but in general it is very good, there is a pool, but there is no beach, but I can say that it is within walking distance to the beach.",8.0,"Posted August 26, 2025",Türkiye (Turkey),Stayed in August 2025,29 Reviews,Diamond,Traveling with friends,Standard Room With Garden View
Spektr Boutique Hotel Yalikavak,The hotel is beautiful and tidy and has a beautiful view inside a small village on a mountain. It is not suitable for the elderly.,9.5,"Posted December 20, 2024",United States,Stayed in December 2024,6 Reviews,Diamond,Traveling with friends,Standard Room With Garden View
Spektr Boutique Hotel Yalikavak,I liked everything very much!,10.0,"Posted August 5, 2025",Russia,Stayed in August 2025,3 Reviews,Platinum,Family,Deluxe Room With Sea View
Spektr Boutique Hotel Yalikavak,"Brilliant location, staff were very friendly, polite and accommodating to make our trip perfect. The kittens on the hotel grounds were unbelievably cute and friendly we loved meeting them, they made our trip! Will definitely be coming back here (hopefully to see the kittens), and will be recommending.",10.0,"Posted September 22, 2025",,Stayed in September 2025,,,Traveling with friends,
Spektr Boutique Hotel Yalikavak,"Everything from check in to check out was amazing - The Care from the staff , the cleanliness of the pool area and rooms in impeccable ! Great location as the marina is around a 5 minute drive , and breakfast at the hotel was great ( lots of options ) also hotel is reasonably quiet which we enjoy a lot - no rush for sunbed ect as they limit rooms to pools which means everyone gets ! I can only thank you so for making our stay amazing ! the staff helped us book dinners , cabs and gave us lots of recommendations!",10.0,"Posted July 13, 2025",,Stayed in July 2025,,,Couple,
