otel_adi,yorum,yorum_basligi,puan,yorum_tarihi,konum,konaklama_tarihi,seyahat_turu,value_rating,rooms_rating,location_rating,cleanliness_rating,service_rating,musteri_toplam_yorum_sayisi
Armonia Holiday Village & Spa,"It is my second time in Türkiye but another caregiver (Corendon). All personel in hotel super and working very hard and good, spa and thai massage super 10/10. Animators just ok, many times You have to look for them a lot. They set evening events for Turkish people more than others but not as much as disco, only with Turkish music every evening - no international music on disco and this was sad. You have a lot to do there or around if You are smart enough - and like 15euro cheeper than Your provider will tell You. Taxi or bus just on the exit of hotel. Food was ok. A lot to eat and to choose but after few days boring - almost everyday the same. We get sick for few days from reused food or drink coctail ice. What we noticed is that they seem to use yesterday's food the next day, if possible. Rooms are just ok. TV is 20 years old but You have airco and fan. You can sleep there and clean yourself but this is it in standard. For 7 days, no one ever refilled the soap container in the shower and we found it empty from day 1. I have no idea why this place have a 5 stars standard. Just buy a shower gel. I love animals but in main restaurant inside you can meet a cat or cats same like outside in the garden or wild dogs on the beach every evening - they are coming for food. Alcohol and food on allinclusive - super and almost 24/7, You will never die. Sea is very close but going deep very fast and moost of the people using a 3 hotel pools 140cm deep - sometimes is hard to find a free place. Sometimes You hearing noises in Your room from outside - mornings the most around 9-10 clock. We have one big bed room but this one bed was made from two small beds. They will also come to You to ask/ offer You massage or photo session for a sick price - do not be a fool. About Corendon Airlines (Condom Airlines) in plane You will search for a leg place a lot. Airplane heve maybe just 10 seats with extra leg place. Other things are just ok from my experience. Last day in hotel before flight (00:30) You are out of the room at 12:00 if You are not able to extend and pay extra for Your room by yourself before. For main info You also have to ask and care about by yourself or go to reception and ask for info - like transfer time - back to airport - extend a room time. Every hour more in Your simple room is around 10euro cost. Not much but you have to worry about to not stay without a room on last day/hours before a flight or airport transfer.",7days,3,Pawel wrote a review Aug 23,"Bodegraven, The Netherlands",August 2026,Traveled as a couple,,,,,,4 contributions
Armonia Holiday Village & Spa,"Everything is excellent! Animation, mini disco, mini club for kids have every day another activity and thank Moana, Una and Jovana for take care of child and make for them fun time!",Very good hotel,5,Jasmina D wrote a review Aug 21,,August 2026,Traveled with family,,,,,,1 contribution
Armonia Holiday Village & Spa,"The hotel is good overall. Our room had a sea view. It was beautiful. The sea and the beach were beautiful. Cleaning services are inadequate. The level was very low compared to a 5-star hotel. (Silk) The food was good. There are so many options. There's a wide variety of options for breakfast. In self-service settings, cutlery is placed on the tables. The tables aren't being cleaned enough. It's being erased superficially. There is no internet in the rooms. We used Wi-Fi in public areas. There wasn't a single power outlet in the lobby where we could plug in the computer. Unfortunately, using a computer is quite difficult when we have an urgent task. I had to work sitting on the bed in the room. That's why I gave it 3 points. The animation team and their organization were very enjoyable for families with children. Entertainment manager Ercan Bektaş and his team are a lot of fun. We would especially like to thank Ms. Ekin for her pleasant conversation and sincerity.",Harmony,3,ozlemkaragoz35 wrote a review Aug 21,"Canakkale Province, Türkiye",August 2026,Traveled with family,,,,,,15 contributions
Armonia Holiday Village & Spa,"We were very well received at the hotel, and the staff were attentive. Sıla Hanım and Seval Hanım from the guest relations department were also very helpful. The rooms were clean. The snack bar was equally good and enjoyable. The restaurant had a wide variety of food, and it all tasted good.",holiday,5,Tuğba B wrote a review Aug 20,,August 2026,Traveled with family,,,,,,1 contribution
Armonia Holiday Village & Spa,"Here are my first impressions from my first day at the hotel: First of all, I wouldn't call it a good value for money hotel; I think the quality is low for the price. The rooms are a bit old and there are cleanliness issues. The food is below average, I didn't find it very good, unfortunately. The pools are small but adequate, the staff are friendly and respectful, and the entertainment is good. What I liked most about the hotel was how easy it was to get everywhere; the restaurant, pool, beach, and rooms were all close. While it takes 10 minutes to get to the beach at larger hotels, here you can be there in 2 minutes. However, it's very windy. I don't know why no one has mentioned it or if I just haven't seen it, but it's quite windy, especially since there's surfing going on right next to it. The hotel is actually in a very nice location, but the cleanliness and the quality/taste of the food definitely need to be reviewed.",I'd say it's moderate.,3,ekin gözde ö wrote a review Aug 15,"Ankara, Türkiye",August 2026,Traveled with family,,,,,,4 contributions
Armonia Holiday Village & Spa,Our holiday was wonderful. Many thanks to all the staff for their hard work. I would also like to extend my special thanks to Seval Hanım and Sıla Hanım from guest relations for their attention and care. And a special thank you to Buhara Hanım who took care of us. Everything was great.,Superrrr,5,escape t wrote a review Aug 12,,August 2026,Traveled with family,,,,,,1 contribution
Armonia Holiday Village & Spa,"The hotel is very clean and its location, especially near the sea, is excellent. I was very pleased with the food and my lovely holiday. Sila Hanim and Seval Hanim They took a very close interest in guest relations. I would also like to thank them.",Nice holiday,5,Batuhan A wrote a review Aug 11,"Koycegiz, Türkiye",August 2026,Traveled with family,,,,,,8 contributions
Armonia Holiday Village & Spa,"We are regulars at stays in Turkey in 5-star all-inclusive hotels. By booking Armonia Village at the last minute for an imminent departure, we naturally expected to find a level of service comparable to what we have experienced during our previous stays. Unfortunately, this stay was a huge disappointment. For us, this hotel absolutely does not deserve its 5 stars. It is very far from the standards one has the right to expect from an establishment of this category and corresponds more, in our experience, to an aging 3-star hotel… if that. Very disappointing dining and hygiene problems. From our arrival at lunchtime, the tone was set: the buffet was infested with flies, making the meal particularly unpleasant. And unfortunately, the situation persisted throughout our entire stay: flies invited themselves to every meal. The dishes were often bland, very greasy, and lacked variety. If you have a sensitive stomach, prepare yourself to have a bad stay. After a few days, the buffets become so repetitive that you simply no longer want to eat there. In 12 days, only one ""Turkish"" themed evening was offered to us, with no great difference from what was usually served. The hygiene also leaves much to be desired. The tables are sticky and the place settings are not properly refreshed between lunch and dinner. We found dirty cutlery and marks on the tables and chairs on several occasions! For neat freaks, we lived through the ordeal of our lives! Another particularly shocking experience: there are a huge number of stray cats present in the establishment, especially in the restaurant area. Some can be aggressive or intrusive. Our son was actually scratched by a cat that jumped on him in the restaurant during mealtime. The significant presence of these animals, especially in areas where people eat, clearly raises questions regarding hygiene and safety, particularly for families with young children. At the spa, the massage was decent, but we were shocked to find that the towels were not changed between clients. For an establishment that presents itself as a 5-star hotel, it is simply inadmissible. Rooms far from being up to standard The rooms advertised as ""spacious"" are absolutely not. For a small family, the space is very limited and we were particularly surprised by their size, which absolutely does not correspond to the standards we have already experienced in other 5-star hotels in Turkey. The room cleaning is simply unacceptable. It was done very late in our building, which is particularly inconvenient when traveling with young children. On several occasions, we left our room around 9 a.m. and returned around 3 p.m.... and the cleaning still hadn't been done. We even had to wait several times at the front desk for our room to finally be cleaned. The housekeeping services are also very insufficient: room slippers are not provided, and even the soap had to be requested or retrieved ourselves from the cart, because it was not systematically placed in the room. We had washed bath towels on several occasions that were not completely dry and had a particularly unpleasant odor. The laundry service also seems obsolete and requires serious improvement. After requesting a proper cleaning at the front desk, we had the unpleasant surprise of finding even more dirt in our room, including trash that did not belong to us on the floor. For a 5-star hotel, it is totally incomprehensible. Unwelcoming staff The staff, as a whole, seemed unwelcoming to us. Especially at the restaurant, where one has more the impression of being a nuisance than a guest on vacation. Drinks are not served during meals by the waiters unless you are privileged! Lines get long and only one bar is open for lunch at the main restaurant! On the outdoor terrace of the restaurant, one waitress in particular was especially unpleasant and made us feel uncomfortable by absolutely wanting to clear our plates even though we had not finished our meal. This type of behavior is all the more regrettable when one comes to spend a vacation in a hotel that claims to be a 5-star establishment. Also be careful at the front desk We also had a very unpleasant experience regarding the late checkout. Since our flight was late, we had asked the day before if it was possible to keep our room until 6:00 PM and what the rate would be. A gentleman at the front desk had quoted us a price of €50. On the morning of our departure, we therefore went to the front desk to confirm the possibility of keeping the room until 6:00 PM. The lady at the front desk then quoted us a rate of €60. We explained to her that the day before, we had been quoted €50. She then replied that that was indeed what she had said and that we had probably misunderstood. However, we are two adults who heard exactly the same rate the day before and we understand English perfectly. This price difference, announced at the last minute, therefore seemed dubious to say the least and gave us the feeling of being taken for tourists who can easily be charged more. Same observation regarding the safe in the room: it is a paid service, at €2 per day, with a key to be picked up at the front desk. Here again, for a hotel that presents itself as a 5-star establishment, we find this particularly petty. Repetitive entertainment The activities are identical every day, without any originality, and quickly become tiresome. The music played continuously is also unpleasant and detracts more from the atmosphere than it makes it welcoming. The beach was also a big disappointment. Without even mentioning other establishments, we have already stayed in several hotels in the region and the difference is glaring. The beach at this hotel is far from being the most pleasant: the cleanliness leaves something to be desired and many stray dogs regularly circulate between the lounge chairs; even if they are not aggressive, their presence can be annoying for some vacationers, especially when traveling with children. On the beach, street vendors regularly pass between the lounge chairs to offer various products to vacationers. This repeated presence is quite disturbing and surprised us for a beach presented as private and secure. This gives more the impression of a space open to passersby than a true private beach reserved and monitored for hotel guests. The value for money is, in our opinion, catastrophic. We paid the price of a 5-star hotel, but the services are very far from being worthy of it. This is the first time, after several stays in Turkey, that we have been so disappointed and angry during our vacation. We also had the feeling that the hotel seemed more adapted to a local clientele, who sometimes seemed to us to be favored in terms of service and interaction. It is particularly unfortunate for an establishment that opens itself to an international clientele via various booking platforms. We are deeply shocked by our experience at this establishment. We sincerely hope that serious checks will be carried out so that the problems of hygiene, safety, and quality of services are taken into consideration and that other families do not experience a vacation as catastrophic as ours. We will absolutely not return to this establishment and we will certainly not recommend it to those around us. If you are looking for a true 5-star hotel in Turkey with services truly worthy of this category, we strongly advise you to look toward another establishment to avoid such disappointment, especially if you are traveling with family.",Our worst experience in Turkey! Avoid at all costs!,1,jihane A wrote a review Aug 10,,August 2026,Traveled with family,,,,,,1 contribution
Armonia Holiday Village & Spa,"We were very pleased with our holiday at Armonia Holiday Village. The hotel's location, the sea, and the overall atmosphere are truly beautiful. All the staff were friendly, attentive and helpful. We were particularly pleased with the attention we received from the restaurant and bar staff. The variety and taste of the dishes were excellent. Our rooms were clean and tidy, and we observed that the common areas were also meticulously cleaned. The pool and beach areas were also very enjoyable. The energy of the animation team and the activities they organized throughout the day added a special touch to our holiday. The evening shows and entertainment were also very successful. Overall, it was a holiday where we felt relaxed and peaceful, and created beautiful memories. We would like to thank all the Armonia Holiday Village staff for their contributions. It's definitely a hotel we would like to choose again.",Reasonable,5,Ahmed nailov wrote a review Aug 9,"Istanbul, Türkiye",August 2026,Traveled with family,,,,,,14 contributions
Armonia Holiday Village & Spa,"Our 6-month-old baby was attacked by a cat while sitting in his stroller on the hotel premises. This cat was present at the hotel every day. Our baby suffered bleeding wounds and had to be taken to the hospital immediately for rabies vaccination, antibiotics and further medical treatment. Instead of taking responsibility, the hotel shifted everything to the municipality. Guest Relations told us that the municipality had already been contacted several times and that the cats were on a waiting list. After contacting the municipality and the veterinary clinic ourselves, we found out this was not true: there is no waiting list, and the cats can be taken directly to the clinic without an appointment for microchipping, vaccination and health checks. We were not looking for compensation; we only expected understanding and responsibility. The hotel offered a dinner at the à la carte restaurant as a “gesture”. Later, we discovered that this was already included in our package. So this was presented as something extra, while it was not. We requested a late check-out so we could properly treat and care for our baby’s wounds in the room. First, we were told this was impossible because there were no rooms available. Shortly afterwards, it suddenly became possible — but only for an additional fee. It seems that everything comes down to money. The final disappointment was the statement from Guest Relations that we “should have protected our child better”. A hotel should take responsibility for the safety of its guests. Unfortunately, in our experience, guest safety, honesty and responsibility are clearly not priorities at this hotel. I absolutely cannot recommend this hotel.",Our baby was attacked and the hotel failed to take responsibility,1,Okan B wrote a review Aug 6,,August 2026,Traveled with family,,,,,,1 contribution
