hotel_id,hotel_name,area,google_verified,trip_verified,platform_coverage_count
BOD001,Aksoy Taş Ev,Akyarlar,True,False,1
BOD002,Armonia Holiday Village & Spa,Akyarlar,True,True,2
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,True,True,2
BOD004,Bendis Beach Hotel,Akyarlar,True,True,2
BOD005,ByAkkan,Akyarlar,True,False,1
BOD006,Club Marma Hotel,Akyarlar,True,False,1
BOD007,Kefaluka Resort,Akyarlar,True,True,2
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,True,True,2
BOD009,LİV OTEL,Akyarlar,False,False,0
BOD010,Mare Garden Hotel,Akyarlar,True,True,2
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,True,True,2
BOD012,Selectum Collection Bodrum,Akyarlar,True,True,2
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,True,True,2
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,True,True,2
BOD015,The Ni Villas Akyarlar,Akyarlar,False,False,0
BOD016,Xanadu Island,Akyarlar,True,True,2
BOD017,Ambrosia Otel Beach & Spa,Bitez,False,True,1
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,False,False,0
BOD019,Bitez Garden Life Hotel&Suites,Bitez,False,False,0
BOD020,Bitez Risa Hotel,Bitez,True,True,2
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,True,True,2
BOD022,Dolce Vita Luxury Bungalows,Bitez,False,False,0
BOD023,Doria Hotel Bodrum,Bitez,False,False,0
BOD024,HAKAN OTEL,Bitez,True,False,1
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,True,True,2
BOD026,Manuela Otel Bitez,Bitez,True,False,1
BOD027,Meis Apart Hotel,Bitez,False,False,0
BOD028,Mira Beach Resort Bodrum,Bitez,False,False,0
BOD029,Mumu Bodrum Hotel,Bitez,False,True,1
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,True,False,1
BOD031,Okaliptus Otel,Bitez,True,True,2
BOD032,Paloma Family Club Bitez,Bitez,True,False,1
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,True,True,2
BOD034,Çınar Butik Otel Bodrum,Bitez,True,False,1
BOD035,Azka Otel - Bardakçı Koyu,Bodrum Merkez,False,False,0
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,True,True,2
BOD037,Bodrum Bay Resort,Bodrum Merkez,False,False,0
BOD038,Casa Mare Bodrum,Bodrum Merkez,False,False,0
BOD039,Casa Nonna Bodrum,Bodrum Merkez,False,False,0
BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,False,0
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,False,True,1
BOD042,Mandarin Resort Hotel,Bodrum Merkez,False,False,0
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,True,True,2
BOD044,Noa Suite Hotel,Bodrum Merkez,False,False,0
BOD045,Salmakis Resort & Spa,Bodrum Merkez,True,True,2
BOD046,Senses Hotel,Bodrum Merkez,False,False,0
BOD047,The Marmara Bodrum,Bodrum Merkez,False,False,0
BOD048,Babana Hotel,Göltürkbükü,True,True,2
BOD049,Casa Del Mar Bodrum,Göltürkbükü,True,False,1
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,False,False,0
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,True,True,2
BOD052,Flamm Bodrum,Göltürkbükü,True,False,1
BOD053,Gölköy Suites,Göltürkbükü,False,False,0
BOD054,Lavinya Maison,Göltürkbükü,True,False,1
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,True,True,2
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,True,True,2
BOD057,Selvi Bodrum,Göltürkbükü,True,False,1
BOD058,Bodrum Beach Resort,Gümbet,True,True,2
BOD059,Bodrum Hotel Baba,Gümbet,True,True,2
BOD060,Club Shark Hotel,Gümbet,True,True,2
BOD061,Gümbet Anıl Beach,Gümbet,True,True,2
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,False,False,0
BOD063,Jasmin Beach Hotel,Gümbet,True,False,1
BOD064,Jasmin Elite Residence & Spa,Gümbet,True,True,2
BOD065,Mirada Exclusive Bodrum,Gümbet,True,True,2
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,True,True,2
BOD067,Sami Beach Hotel,Gümbet,True,False,1
