hotel_id,coverage
BOD002,BOTH
BOD003,BOTH
BOD004,BOTH
BOD007,BOTH
BOD008,BOTH
BOD010,BOTH
BOD011,BOTH
BOD012,BOTH
BOD013,BOTH
BOD014,BOTH
BOD016,BOTH
BOD020,BOTH
BOD025,BOTH
BOD031,BOTH
BOD033,BOTH
BOD036,BOTH
BOD043,BOTH
BOD045,BOTH
BOD048,BOTH
BOD051,BOTH
BOD055,BOTH
BOD056,BOTH
BOD058,BOTH
BOD060,BOTH
BOD061,BOTH
BOD064,BOTH
BOD065,BOTH
BOD066,BOTH
BOD068,BOTH
BOD071,BOTH
BOD073,BOTH
BOD074,BOTH
BOD086,BOTH
BOD088,BOTH
BOD089,BOTH
BOD090,BOTH
BOD095,BOTH
BOD096,BOTH
BOD106,BOTH
BOD107,BOTH
BOD108,BOTH
BOD111,BOTH
BOD120,BOTH
BOD122,BOTH
BOD126,BOTH
BOD128,BOTH
BOD130,BOTH
BOD131,BOTH
BOD134,BOTH
BOD136,BOTH
BOD140,BOTH
BOD147,BOTH
BOD152,BOTH
BOD162,BOTH
BOD167,BOTH
BOD180,BOTH
BOD189,BOTH
BOD190,BOTH
BOD001,GOOGLE_ONLY
BOD005,GOOGLE_ONLY
BOD006,GOOGLE_ONLY
BOD024,GOOGLE_ONLY
BOD026,GOOGLE_ONLY
BOD030,GOOGLE_ONLY
BOD032,GOOGLE_ONLY
BOD034,GOOGLE_ONLY
BOD049,GOOGLE_ONLY
BOD052,GOOGLE_ONLY
BOD054,GOOGLE_ONLY
BOD057,GOOGLE_ONLY
BOD063,GOOGLE_ONLY
BOD067,GOOGLE_ONLY
BOD070,GOOGLE_ONLY
BOD077,GOOGLE_ONLY
BOD080,GOOGLE_ONLY
BOD087,GOOGLE_ONLY
BOD098,GOOGLE_ONLY
BOD099,GOOGLE_ONLY
BOD101,GOOGLE_ONLY
BOD102,GOOGLE_ONLY
BOD104,GOOGLE_ONLY
BOD105,GOOGLE_ONLY
BOD109,GOOGLE_ONLY
BOD113,GOOGLE_ONLY
BOD119,GOOGLE_ONLY
BOD123,GOOGLE_ONLY
BOD125,GOOGLE_ONLY
BOD127,GOOGLE_ONLY
BOD129,GOOGLE_ONLY
BOD132,GOOGLE_ONLY
BOD133,GOOGLE_ONLY
BOD143,GOOGLE_ONLY
BOD145,GOOGLE_ONLY
BOD146,GOOGLE_ONLY
BOD148,GOOGLE_ONLY
BOD150,GOOGLE_ONLY
BOD153,GOOGLE_ONLY
BOD155,GOOGLE_ONLY
BOD156,GOOGLE_ONLY
BOD161,GOOGLE_ONLY
BOD166,GOOGLE_ONLY
BOD168,GOOGLE_ONLY
BOD169,GOOGLE_ONLY
BOD171,GOOGLE_ONLY
BOD017,TRIP_ONLY
BOD021,TRIP_ONLY
BOD029,TRIP_ONLY
BOD041,TRIP_ONLY
BOD059,TRIP_ONLY
BOD072,TRIP_ONLY
BOD076,TRIP_ONLY
BOD078,TRIP_ONLY
BOD081,TRIP_ONLY
BOD082,TRIP_ONLY
BOD085,TRIP_ONLY
BOD091,TRIP_ONLY
BOD097,TRIP_ONLY
BOD100,TRIP_ONLY
BOD110,TRIP_ONLY
BOD112,TRIP_ONLY
BOD115,TRIP_ONLY
BOD118,TRIP_ONLY
BOD124,TRIP_ONLY
BOD141,TRIP_ONLY
BOD144,TRIP_ONLY
BOD151,TRIP_ONLY
BOD158,TRIP_ONLY
BOD165,TRIP_ONLY
BOD170,TRIP_ONLY
BOD172,TRIP_ONLY
BOD173,TRIP_ONLY
BOD174,TRIP_ONLY
BOD175,TRIP_ONLY
BOD177,TRIP_ONLY
BOD181,TRIP_ONLY
BOD184,TRIP_ONLY
BOD186,TRIP_ONLY
BOD187,TRIP_ONLY
BOD191,TRIP_ONLY
BOD192,TRIP_ONLY
