hotel_id,google_n,google_mean,google_median,google_low_share,google_high_share,trip_n,trip_mean_5,trip_median_5,trip_low_share,trip_high_share,rating_gap_mean,rating_gap_median,agreement,comparison_support
BOD002,10.0,3.6,4.0,0.2,0.6,11.0,3.8181818181818183,5.0,0.2727272727272727,0.7272727272727273,-0.218,-1.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD003,30.0,4.433333333333334,5.0,0.13333333333333333,0.8333333333333334,28.0,3.6785714285714284,4.0,0.21428571428571427,0.6785714285714286,0.755,1.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD004,10.0,2.0,1.0,0.7,0.3,11.0,3.9545454545454546,5.0,0.18181818181818182,0.6363636363636364,-1.955,-4.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD007,60.0,4.066666666666666,5.0,0.18333333333333332,0.7333333333333333,11.0,4.259090909090909,4.6,0.09090909090909091,0.8181818181818182,-0.192,0.4,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD008,20.0,5.0,5.0,0.0,1.0,11.0,4.009090909090909,5.0,0.18181818181818182,0.7272727272727273,0.991,0.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD010,10.0,3.2,3.5,0.3,0.5,2.0,4.0,4.0,0.0,1.0,-0.8,-0.5,DISAGREEMENT,LOW_SUPPORT
BOD011,10.0,4.8,5.0,0.0,0.9,11.0,4.75,5.0,0.0,0.8181818181818182,0.05,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD012,10.0,4.1,5.0,0.2,0.8,11.0,4.613636363636363,5.0,0.09090909090909091,0.8181818181818182,-0.514,0.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD013,72.0,4.027777777777778,5.0,0.18055555555555555,0.75,8.0,4.375,5.0,0.125,0.875,-0.347,0.0,MODERATE_AGREEMENT,LOW_SUPPORT
BOD014,10.0,4.6,5.0,0.1,0.9,11.0,3.5454545454545454,4.0,0.2727272727272727,0.6363636363636364,1.055,1.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD016,10.0,3.8,5.0,0.3,0.7,11.0,4.909090909090909,5.0,0.0,1.0,-1.109,0.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD020,50.0,4.32,5.0,0.1,0.82,50.0,3.75,5.0,0.26,0.66,0.57,0.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD025,10.0,2.4,1.0,0.6,0.3,21.0,4.4523809523809526,5.0,0.047619047619047616,0.9047619047619048,-2.052,-4.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD031,10.0,3.5,5.0,0.4,0.6,47.0,3.3191489361702127,3.0,0.2765957446808511,0.44680851063829785,0.181,2.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD033,39.0,4.717948717948718,5.0,0.05128205128205128,0.9230769230769231,64.0,4.28671875,5.0,0.125,0.84375,0.431,0.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD036,10.0,5.0,5.0,0.0,1.0,63.0,4.696031746031746,5.0,0.031746031746031744,0.9523809523809523,0.304,0.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD043,10.0,4.6,5.0,0.0,0.8,90.0,4.588888888888889,5.0,0.022222222222222223,0.8888888888888888,0.011,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD045,64.0,3.859375,4.5,0.21875,0.71875,51.0,3.872549019607843,4.0,0.11764705882352941,0.6274509803921569,-0.013,0.5,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD048,10.0,5.0,5.0,0.0,1.0,12.0,4.0,5.0,0.25,0.75,1.0,0.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD051,21.0,4.523809523809524,5.0,0.047619047619047616,0.8571428571428571,11.0,3.1818181818181817,4.0,0.36363636363636365,0.6363636363636364,1.342,1.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD055,10.0,4.6,5.0,0.1,0.9,11.0,4.2727272727272725,5.0,0.09090909090909091,0.8181818181818182,0.327,0.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD056,40.0,4.6,5.0,0.075,0.875,11.0,4.636363636363637,5.0,0.09090909090909091,0.8181818181818182,-0.036,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD058,10.0,4.4,5.0,0.1,0.8,11.0,3.840909090909091,4.0,0.09090909090909091,0.5454545454545454,0.559,1.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD060,78.0,4.3076923076923075,5.0,0.14102564102564102,0.8461538461538461,43.0,4.325581395348837,5.0,0.06976744186046512,0.813953488372093,-0.018,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD061,65.0,4.0,5.0,0.15384615384615385,0.7076923076923077,41.0,4.219512195121951,5.0,0.14634146341463414,0.8048780487804879,-0.22,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD064,29.0,3.793103448275862,5.0,0.27586206896551724,0.6896551724137931,88.0,4.573863636363637,5.0,0.045454545454545456,0.8863636363636364,-0.781,0.0,DISAGREEMENT,SUPPORTED_COMPARISON
BOD065,21.0,4.428571428571429,5.0,0.047619047619047616,0.8571428571428571,63.0,4.920634920634921,5.0,0.0,1.0,-0.492,0.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD066,10.0,4.0200000000000005,4.6,0.1,0.7,74.0,3.7905405405405403,4.0,0.17567567567567569,0.6216216216216216,0.229,0.6,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD068,10.0,3.9,4.5,0.2,0.7,45.0,3.9166666666666665,4.0,0.13333333333333333,0.7333333333333333,-0.017,0.5,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD071,25.0,3.36,4.0,0.32,0.52,12.0,3.9166666666666665,4.5,0.16666666666666666,0.6666666666666666,-0.557,-0.5,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD073,26.0,4.153846153846154,5.0,0.15384615384615385,0.7692307692307693,10.0,4.55,5.0,0.0,0.8,-0.396,0.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD074,28.0,4.857142857142857,5.0,0.0,0.9642857142857143,3.0,5.0,5.0,0.0,1.0,-0.143,0.0,HIGH_AGREEMENT,LOW_SUPPORT
BOD086,10.0,4.5,5.0,0.1,0.8,20.0,3.825,5.0,0.25,0.65,0.675,0.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD088,20.0,3.7,4.0,0.25,0.65,40.0,4.23125,5.0,0.15,0.775,-0.531,-1.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD089,20.0,4.6,5.0,0.1,0.9,28.0,4.928571428571429,5.0,0.0,0.9642857142857143,-0.329,0.0,MODERATE_AGREEMENT,SUPPORTED_COMPARISON
BOD090,10.0,4.2,5.0,0.2,0.8,67.0,4.298507462686567,5.0,0.08955223880597014,0.8208955223880597,-0.099,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
BOD095,10.0,3.9,4.5,0.2,0.7,58.0,4.741379310344827,5.0,0.034482758620689655,0.9482758620689655,-0.841,-0.5,DISAGREEMENT,SUPPORTED_COMPARISON
BOD096,10.0,5.0,5.0,0.0,1.0,27.0,4.814814814814815,5.0,0.037037037037037035,0.9629629629629629,0.185,0.0,HIGH_AGREEMENT,SUPPORTED_COMPARISON
