hotel_id,google_n,trip_n,comparison_support
BOD002,10.0,11.0,SUPPORTED_COMPARISON
BOD003,30.0,28.0,SUPPORTED_COMPARISON
BOD004,10.0,11.0,SUPPORTED_COMPARISON
BOD007,60.0,11.0,SUPPORTED_COMPARISON
BOD008,20.0,11.0,SUPPORTED_COMPARISON
BOD010,10.0,2.0,LOW_SUPPORT
BOD011,10.0,11.0,SUPPORTED_COMPARISON
BOD012,10.0,11.0,SUPPORTED_COMPARISON
BOD013,72.0,8.0,LOW_SUPPORT
BOD014,10.0,11.0,SUPPORTED_COMPARISON
BOD016,10.0,11.0,SUPPORTED_COMPARISON
BOD020,50.0,50.0,SUPPORTED_COMPARISON
BOD025,10.0,21.0,SUPPORTED_COMPARISON
BOD031,10.0,47.0,SUPPORTED_COMPARISON
BOD033,39.0,64.0,SUPPORTED_COMPARISON
BOD036,10.0,63.0,SUPPORTED_COMPARISON
BOD043,10.0,90.0,SUPPORTED_COMPARISON
BOD045,64.0,51.0,SUPPORTED_COMPARISON
BOD048,10.0,12.0,SUPPORTED_COMPARISON
BOD051,21.0,11.0,SUPPORTED_COMPARISON
BOD055,10.0,11.0,SUPPORTED_COMPARISON
BOD056,40.0,11.0,SUPPORTED_COMPARISON
BOD058,10.0,11.0,SUPPORTED_COMPARISON
BOD060,78.0,43.0,SUPPORTED_COMPARISON
BOD061,65.0,41.0,SUPPORTED_COMPARISON
BOD064,29.0,88.0,SUPPORTED_COMPARISON
BOD065,21.0,63.0,SUPPORTED_COMPARISON
BOD066,10.0,74.0,SUPPORTED_COMPARISON
BOD068,10.0,45.0,SUPPORTED_COMPARISON
BOD071,25.0,12.0,SUPPORTED_COMPARISON
BOD073,26.0,10.0,SUPPORTED_COMPARISON
BOD074,28.0,3.0,LOW_SUPPORT
BOD086,10.0,20.0,SUPPORTED_COMPARISON
BOD088,20.0,40.0,SUPPORTED_COMPARISON
BOD089,20.0,28.0,SUPPORTED_COMPARISON
BOD090,10.0,67.0,SUPPORTED_COMPARISON
BOD095,10.0,58.0,SUPPORTED_COMPARISON
BOD096,10.0,27.0,SUPPORTED_COMPARISON
BOD106,11.0,57.0,SUPPORTED_COMPARISON
BOD107,10.0,44.0,SUPPORTED_COMPARISON
BOD108,10.0,41.0,SUPPORTED_COMPARISON
BOD111,30.0,9.0,LOW_SUPPORT
BOD120,10.0,39.0,SUPPORTED_COMPARISON
BOD122,10.0,11.0,SUPPORTED_COMPARISON
BOD126,10.0,27.0,SUPPORTED_COMPARISON
BOD128,87.0,25.0,SUPPORTED_COMPARISON
BOD130,10.0,44.0,SUPPORTED_COMPARISON
BOD131,20.0,44.0,SUPPORTED_COMPARISON
BOD134,10.0,18.0,SUPPORTED_COMPARISON
BOD136,10.0,24.0,SUPPORTED_COMPARISON
BOD140,10.0,45.0,SUPPORTED_COMPARISON
BOD147,10.0,14.0,SUPPORTED_COMPARISON
BOD152,20.0,73.0,SUPPORTED_COMPARISON
BOD162,20.0,65.0,SUPPORTED_COMPARISON
BOD167,11.0,62.0,SUPPORTED_COMPARISON
BOD180,10.0,56.0,SUPPORTED_COMPARISON
BOD189,33.0,62.0,SUPPORTED_COMPARISON
BOD190,20.0,18.0,SUPPORTED_COMPARISON
