area,aspect,mention_rate_pct,support_n,hotel_count
Akyarlar,STAFF,65.0,297,14
Akyarlar,CLEANLINESS,57.2,297,14
Akyarlar,HYGIENE,9.8,297,14
Akyarlar,FOOD,67.0,297,14
Akyarlar,ROOM,66.0,297,14
Akyarlar,BED_COMFORT,27.3,297,14
Akyarlar,BEACH_SEA,60.3,297,14
Akyarlar,POOL,27.9,297,14
Akyarlar,SERVICE,32.3,297,14
Akyarlar,PRICE_VALUE,32.0,297,14
Akyarlar,LOCATION,35.7,297,14
Akyarlar,FACILITIES,26.6,297,14
Akyarlar,NOISE,38.4,297,14
Akyarlar,FAMILY_KIDS,31.3,297,14
Akyarlar,ANIMATION_ENTERTAINMENT,28.6,297,14
Akyarlar,AIR_CONDITIONING,2.0,297,14
Akyarlar,CHECKIN_CHECKOUT,13.5,297,14
Akyarlar,RESERVATION,14.1,297,14
Akyarlar,REFUND_PAYMENT,5.1,297,14
Akyarlar,TRANSPORT_TRANSFER,2.0,297,14
Akyarlar,MANAGEMENT,19.9,297,14
Akyarlar,COMMUNICATION,5.7,297,14
Akyarlar,BAR_DRINKS,41.8,297,14
Akyarlar,WIFI,1.7,297,14
Bitez,STAFF,61.3,204,9
Bitez,CLEANLINESS,51.5,204,9
Bitez,HYGIENE,11.8,204,9
Bitez,FOOD,59.8,204,9
Bitez,ROOM,48.5,204,9
Bitez,BED_COMFORT,18.6,204,9
Bitez,BEACH_SEA,27.5,204,9
Bitez,POOL,27.9,204,9
Bitez,SERVICE,26.5,204,9
Bitez,PRICE_VALUE,29.9,204,9
Bitez,LOCATION,27.5,204,9
Bitez,FACILITIES,17.6,204,9
Bitez,NOISE,22.5,204,9
Bitez,FAMILY_KIDS,26.0,204,9
Bitez,ANIMATION_ENTERTAINMENT,8.3,204,9
Bitez,AIR_CONDITIONING,4.9,204,9
Bitez,CHECKIN_CHECKOUT,11.3,204,9
Bitez,RESERVATION,8.3,204,9
Bitez,REFUND_PAYMENT,2.9,204,9
Bitez,TRANSPORT_TRANSFER,0.5,204,9
Bitez,MANAGEMENT,13.7,204,9
Bitez,COMMUNICATION,2.5,204,9
Bitez,BAR_DRINKS,38.2,204,9
Bitez,WIFI,2.5,204,9
Bodrum Merkez,STAFF,69.0,84,3
Bodrum Merkez,CLEANLINESS,61.9,84,3
Bodrum Merkez,HYGIENE,4.8,84,3
Bodrum Merkez,FOOD,75.0,84,3
Bodrum Merkez,ROOM,53.6,84,3
Bodrum Merkez,BED_COMFORT,21.4,84,3
Bodrum Merkez,BEACH_SEA,38.1,84,3
Bodrum Merkez,POOL,20.2,84,3
Bodrum Merkez,SERVICE,35.7,84,3
Bodrum Merkez,PRICE_VALUE,32.1,84,3
Bodrum Merkez,LOCATION,36.9,84,3
Bodrum Merkez,FACILITIES,36.9,84,3
Bodrum Merkez,NOISE,28.6,84,3
Bodrum Merkez,FAMILY_KIDS,14.3,84,3
Bodrum Merkez,ANIMATION_ENTERTAINMENT,32.1,84,3
Bodrum Merkez,AIR_CONDITIONING,2.4,84,3
Bodrum Merkez,CHECKIN_CHECKOUT,10.7,84,3
Bodrum Merkez,RESERVATION,8.3,84,3
Bodrum Merkez,REFUND_PAYMENT,4.8,84,3
