area,hotel_count_with_reviews,review_count,review_weighted_mean_rating,median_hotel_rating,median_low_share,median_high_share
Gümbet,11,367,3.9678474114441418,5.0,0.2,0.7
Ortakent-Yahşi,15,320,4.309375,5.0,0.172,0.759
Akyarlar,14,300,4.19,5.0,0.157,0.8
Göltürkbükü,8,266,4.139622641509434,5.0,0.1,0.866
Bitez,9,210,4.2009569377990434,5.0,0.2,0.8
Torba,11,193,4.300518134715026,5.0,0.1,0.85
Güvercinlik,8,183,3.7759562841530054,5.0,0.198,0.7
Gündoğan,8,120,4.433333333333334,5.0,0.1,0.9
Gümüşlük,6,104,3.8461538461538463,5.0,0.22699999999999998,0.7344999999999999
Yalıkavak,4,96,4.442708333333333,5.0,0.1,0.9
Bodrum Merkez,3,84,4.083333333333333,5.0,0.0,0.8
Türkbükü,4,51,3.8627450980392157,5.0,0.2865,0.7
Turgutreis,2,30,3.7333333333333334,3.0,0.47500000000000003,0.475
Kadıkalesi,1,12,3.0,3.0,0.455,0.455
