bigram,count
guler yuzlu,448
tesekkur ederiz,332
memnun kaldik,298
her sey,246
tavsiye ederim,186
son derece,183
tesekkur ederim,158
her gun,155
denize sifir,125
gonul rahatligiyla,118
otelin konumu,114
fiyat performans,112
odalar temiz,100
ayrica tesekkur,96
tesekkur ediyorum,94
guler yuzu,90
rahatligiyla tavsiye,80
her konuda,79
tatil gecirdik,77
olmasina ragmen,76
kesinlikle tavsiye,76
daha iyi,69
olmak uzere,67
her zaman,65
oda temizligi,63
animasyon ekibi,62
tesekkur etmek,62
ilgili guler,61
guzel tatil,60
hizmet kalitesi,60
