hotel_id,n_reviews,rooms_score_coverage_pct,service_score_coverage_pct,location_score_coverage_pct
BOD001,28,64.3,64.3,64.3
BOD002,10,80.0,80.0,80.0
BOD003,30,90.0,90.0,90.0
BOD004,10,90.0,90.0,90.0
BOD005,10,80.0,80.0,80.0
BOD006,10,80.0,80.0,80.0
BOD007,60,90.0,90.0,90.0
BOD008,20,95.0,95.0,95.0
BOD010,10,100.0,100.0,100.0
BOD011,10,50.0,50.0,50.0
BOD012,10,90.0,90.0,90.0
BOD013,72,52.8,52.8,52.8
BOD014,10,80.0,80.0,80.0
BOD016,10,90.0,90.0,90.0
BOD020,50,72.0,72.0,72.0
BOD024,11,81.8,81.8,81.8
BOD025,10,90.0,90.0,90.0
BOD026,10,70.0,70.0,70.0
BOD030,10,70.0,70.0,70.0
BOD031,10,60.0,60.0,60.0
BOD032,60,60.0,60.0,60.0
BOD033,39,48.7,48.7,48.7
BOD034,10,80.0,80.0,80.0
BOD036,10,90.0,90.0,90.0
BOD043,10,80.0,80.0,80.0
BOD045,64,48.4,48.4,48.4
BOD048,10,80.0,80.0,80.0
BOD049,26,73.1,73.1,73.1
BOD051,21,81.0,81.0,81.0
BOD052,69,44.9,44.9,44.9
BOD054,10,20.0,20.0,20.0
BOD055,10,90.0,90.0,90.0
BOD056,40,77.5,77.5,77.5
BOD057,80,36.2,36.2,36.2
BOD058,10,50.0,50.0,50.0
BOD060,78,65.4,65.4,65.4
BOD061,65,69.2,69.2,69.2
BOD063,30,83.3,83.3,83.3
BOD064,29,65.5,65.5,65.5
BOD065,21,81.0,81.0,81.0
BOD066,10,70.0,70.0,70.0
BOD067,59,55.9,55.9,55.9
BOD068,10,90.0,90.0,90.0
BOD070,30,76.7,76.7,76.7
BOD071,25,76.0,76.0,76.0
BOD073,26,30.8,30.8,30.8
BOD074,28,71.4,71.4,71.4
BOD077,20,65.0,65.0,65.0
BOD080,10,80.0,80.0,80.0
BOD086,10,60.0,60.0,60.0
BOD087,10,60.0,60.0,60.0
BOD088,20,45.0,45.0,45.0
BOD089,20,60.0,60.0,60.0
BOD090,10,90.0,90.0,90.0
BOD095,10,80.0,80.0,80.0
BOD096,10,40.0,40.0,40.0
BOD098,30,80.0,80.0,80.0
BOD099,10,20.0,20.0,20.0
BOD101,10,60.0,60.0,60.0
BOD102,10,60.0,60.0,60.0
BOD104,27,44.4,44.4,44.4
BOD105,42,50.0,50.0,50.0
BOD106,11,81.8,81.8,81.8
BOD107,10,70.0,70.0,70.0
BOD108,10,70.0,70.0,70.0
BOD109,43,65.1,65.1,65.1
BOD111,30,83.3,83.3,83.3
BOD113,12,33.3,33.3,33.3
BOD119,10,80.0,80.0,80.0
BOD120,10,70.0,70.0,70.0
BOD122,10,50.0,50.0,50.0
BOD123,32,31.2,31.2,31.2
BOD125,30,56.7,56.7,56.7
BOD126,10,80.0,80.0,80.0
BOD127,29,65.5,65.5,65.5
BOD128,87,71.3,71.3,71.3
BOD129,20,55.0,55.0,55.0
BOD130,10,90.0,90.0,90.0
BOD131,20,85.0,85.0,85.0
BOD132,22,72.7,72.7,72.7
BOD133,10,60.0,60.0,60.0
BOD134,10,70.0,70.0,70.0
BOD136,10,50.0,50.0,50.0
BOD140,10,90.0,90.0,90.0
BOD143,10,80.0,80.0,80.0
BOD145,29,62.1,62.1,62.1
BOD146,44,61.4,61.4,61.4
BOD147,10,80.0,80.0,80.0
BOD148,20,65.0,65.0,65.0
BOD150,20,70.0,70.0,70.0
BOD152,20,75.0,75.0,75.0
BOD153,10,80.0,80.0,80.0
BOD155,10,60.0,60.0,60.0
BOD156,10,70.0,70.0,70.0
BOD161,10,100.0,100.0,100.0
BOD162,20,75.0,75.0,75.0
BOD166,10,90.0,90.0,90.0
BOD167,11,72.7,72.7,72.7
BOD168,20,55.0,55.0,55.0
BOD169,10,40.0,40.0,40.0
BOD171,33,30.3,30.3,30.3
BOD180,10,50.0,50.0,50.0
BOD189,33,42.4,42.4,42.4
BOD190,20,100.0,100.0,100.0
