hotel_id,aspect,mention_rate_n,low_context_share,high_context_share,mean_rating,support_flag
BOD001,BAR_DRINKS,6,0.0,100.0,5.0,OK
BOD001,BEACH_SEA,22,0.0,100.0,5.0,OK
BOD001,BED_COMFORT,7,0.0,100.0,5.0,OK
BOD001,CHECKIN_CHECKOUT,2,0.0,100.0,5.0,LOW_SUPPORT
BOD001,CLEANLINESS,14,0.0,100.0,5.0,OK
BOD001,COMMUNICATION,1,0.0,100.0,5.0,LOW_SUPPORT
BOD001,FACILITIES,3,0.0,100.0,5.0,OK
BOD001,FAMILY_KIDS,6,0.0,100.0,5.0,OK
BOD001,FOOD,20,0.0,100.0,5.0,OK
BOD001,LOCATION,16,0.0,100.0,5.0,OK
BOD001,MANAGEMENT,11,0.0,100.0,5.0,OK
BOD001,NOISE,11,0.0,100.0,5.0,OK
BOD001,PRICE_VALUE,5,0.0,100.0,5.0,OK
BOD001,ROOM,20,0.0,100.0,5.0,OK
BOD001,SERVICE,3,0.0,100.0,5.0,OK
BOD001,STAFF,13,0.0,100.0,5.0,OK
BOD001,TRANSPORT_TRANSFER,3,0.0,100.0,5.0,OK
BOD002,AIR_CONDITIONING,2,50.0,50.0,3.0,LOW_SUPPORT
BOD002,ANIMATION_ENTERTAINMENT,5,20.0,80.0,4.2,OK
BOD002,BAR_DRINKS,7,14.3,71.4,3.86,OK
BOD002,BEACH_SEA,6,33.3,33.3,2.83,OK
BOD002,BED_COMFORT,6,33.3,66.7,3.5,OK
BOD002,CHECKIN_CHECKOUT,2,0.0,100.0,5.0,LOW_SUPPORT
BOD002,CLEANLINESS,5,40.0,60.0,3.0,OK
BOD002,FACILITIES,1,0.0,100.0,4.0,LOW_SUPPORT
BOD002,FAMILY_KIDS,6,33.3,66.7,3.5,OK
BOD002,FOOD,8,25.0,62.5,3.5,OK
BOD002,HYGIENE,1,0.0,100.0,4.0,LOW_SUPPORT
BOD002,LOCATION,6,16.7,50.0,3.5,OK
BOD002,MANAGEMENT,2,0.0,100.0,5.0,LOW_SUPPORT
BOD002,NOISE,5,40.0,40.0,2.8,OK
BOD002,POOL,5,40.0,40.0,2.8,OK
BOD002,PRICE_VALUE,5,20.0,80.0,3.8,OK
BOD002,REFUND_PAYMENT,1,100.0,0.0,1.0,LOW_SUPPORT
BOD002,ROOM,8,25.0,62.5,3.5,OK
BOD002,SERVICE,2,0.0,100.0,4.5,LOW_SUPPORT
BOD002,STAFF,6,0.0,100.0,4.67,OK
BOD002,WIFI,1,100.0,0.0,1.0,LOW_SUPPORT
BOD003,AIR_CONDITIONING,1,100.0,0.0,1.0,LOW_SUPPORT
BOD003,BAR_DRINKS,6,33.3,50.0,3.5,OK
BOD003,BEACH_SEA,18,11.1,83.3,4.5,OK
BOD003,BED_COMFORT,7,14.3,85.7,4.57,OK
BOD003,CHECKIN_CHECKOUT,2,50.0,0.0,2.0,LOW_SUPPORT
BOD003,CLEANLINESS,12,25.0,66.7,3.92,OK
BOD003,FACILITIES,6,16.7,66.7,4.17,OK
BOD003,FAMILY_KIDS,4,25.0,75.0,4.0,OK
BOD003,FOOD,11,9.1,81.8,4.45,OK
BOD003,HYGIENE,1,0.0,100.0,5.0,LOW_SUPPORT
BOD003,LOCATION,11,9.1,81.8,4.45,OK
BOD003,MANAGEMENT,5,40.0,40.0,3.2,OK
BOD003,NOISE,7,28.6,71.4,4.0,OK
BOD003,POOL,4,0.0,100.0,5.0,OK
BOD003,PRICE_VALUE,10,30.0,60.0,3.7,OK
BOD003,REFUND_PAYMENT,2,100.0,0.0,1.5,LOW_SUPPORT
BOD003,RESERVATION,1,100.0,0.0,1.0,LOW_SUPPORT
BOD003,ROOM,16,25.0,68.8,3.94,OK
BOD003,SERVICE,6,50.0,33.3,2.83,OK
BOD003,STAFF,16,12.5,81.2,4.44,OK
BOD004,ANIMATION_ENTERTAINMENT,4,25.0,75.0,3.5,OK
BOD004,BAR_DRINKS,5,60.0,40.0,2.2,OK
BOD004,BEACH_SEA,5,60.0,40.0,2.4,OK
BOD004,BED_COMFORT,4,50.0,50.0,2.5,OK
BOD004,CHECKIN_CHECKOUT,3,66.7,33.3,2.0,OK
BOD004,CLEANLINESS,8,87.5,12.5,1.5,OK
BOD004,COMMUNICATION,1,100.0,0.0,1.0,LOW_SUPPORT
BOD004,FACILITIES,6,83.3,16.7,1.67,OK
BOD004,FAMILY_KIDS,8,62.5,37.5,2.25,OK
BOD004,FOOD,6,50.0,50.0,2.67,OK
BOD004,HYGIENE,1,100.0,0.0,1.0,LOW_SUPPORT
BOD004,LOCATION,2,50.0,50.0,2.5,LOW_SUPPORT
BOD004,MANAGEMENT,3,66.7,33.3,2.0,OK
BOD004,NOISE,6,83.3,16.7,1.67,OK
BOD004,POOL,4,75.0,25.0,2.0,OK
BOD004,PRICE_VALUE,7,57.1,42.9,2.29,OK
BOD004,REFUND_PAYMENT,1,0.0,100.0,4.0,LOW_SUPPORT
BOD004,RESERVATION,5,80.0,20.0,1.6,OK
BOD004,ROOM,9,66.7,33.3,2.11,OK
BOD004,SERVICE,1,100.0,0.0,1.0,LOW_SUPPORT
BOD004,STAFF,7,71.4,28.6,2.0,OK
BOD004,TRANSPORT_TRANSFER,1,100.0,0.0,1.0,LOW_SUPPORT
BOD005,ANIMATION_ENTERTAINMENT,1,0.0,100.0,5.0,LOW_SUPPORT
BOD005,BEACH_SEA,3,0.0,100.0,5.0,OK
BOD005,BED_COMFORT,2,0.0,100.0,5.0,LOW_SUPPORT
BOD005,CHECKIN_CHECKOUT,1,0.0,100.0,5.0,LOW_SUPPORT
BOD005,CLEANLINESS,5,20.0,80.0,4.2,OK
BOD005,FACILITIES,1,0.0,100.0,5.0,LOW_SUPPORT
BOD005,FOOD,6,16.7,83.3,4.33,OK
BOD005,HYGIENE,2,50.0,50.0,3.0,LOW_SUPPORT
BOD005,LOCATION,2,0.0,100.0,5.0,LOW_SUPPORT
BOD005,MANAGEMENT,2,50.0,50.0,3.0,LOW_SUPPORT
BOD005,NOISE,3,0.0,100.0,5.0,OK
BOD005,PRICE_VALUE,2,50.0,50.0,3.0,LOW_SUPPORT
BOD005,REFUND_PAYMENT,1,100.0,0.0,1.0,LOW_SUPPORT
BOD005,RESERVATION,1,0.0,100.0,5.0,LOW_SUPPORT
BOD005,ROOM,5,20.0,80.0,4.2,OK
BOD005,SERVICE,4,0.0,100.0,5.0,OK
BOD005,STAFF,6,0.0,100.0,5.0,OK
BOD006,ANIMATION_ENTERTAINMENT,1,0.0,100.0,5.0,LOW_SUPPORT
BOD006,BAR_DRINKS,1,100.0,0.0,1.0,LOW_SUPPORT
BOD006,BEACH_SEA,9,11.1,88.9,4.44,OK
BOD006,BED_COMFORT,3,33.3,66.7,3.67,OK
BOD006,CLEANLINESS,5,0.0,100.0,4.8,OK
BOD006,FACILITIES,3,33.3,66.7,3.67,OK
BOD006,FAMILY_KIDS,2,0.0,100.0,5.0,LOW_SUPPORT
BOD006,FOOD,7,14.3,85.7,4.29,OK
BOD006,HYGIENE,1,0.0,100.0,5.0,LOW_SUPPORT
BOD006,LOCATION,3,0.0,100.0,4.67,OK
BOD006,MANAGEMENT,2,50.0,50.0,3.0,LOW_SUPPORT
BOD006,NOISE,3,33.3,66.7,3.67,OK
BOD006,POOL,1,0.0,100.0,5.0,LOW_SUPPORT
BOD006,PRICE_VALUE,5,20.0,80.0,4.2,OK
BOD006,RESERVATION,1,0.0,100.0,5.0,LOW_SUPPORT
BOD006,ROOM,5,20.0,80.0,4.0,OK
BOD006,SERVICE,2,0.0,100.0,5.0,LOW_SUPPORT
BOD006,STAFF,6,16.7,83.3,4.17,OK
BOD006,WIFI,1,100.0,0.0,1.0,LOW_SUPPORT
BOD007,AIR_CONDITIONING,1,0.0,100.0,5.0,LOW_SUPPORT
BOD007,ANIMATION_ENTERTAINMENT,37,10.8,83.8,4.43,OK
BOD007,BAR_DRINKS,28,25.0,64.3,3.82,OK
BOD007,BEACH_SEA,34,23.5,67.6,3.88,OK
BOD007,BED_COMFORT,14,21.4,64.3,4.0,OK
BOD007,CHECKIN_CHECKOUT,7,28.6,42.9,3.14,OK
BOD007,CLEANLINESS,29,24.1,65.5,3.79,OK
BOD007,COMMUNICATION,9,33.3,55.6,3.56,OK
BOD007,FACILITIES,25,36.0,56.0,3.4,OK
BOD007,FAMILY_KIDS,28,10.7,78.6,4.32,OK
BOD007,FOOD,37,18.9,73.0,4.03,OK
BOD007,HYGIENE,5,40.0,40.0,3.0,OK
BOD007,LOCATION,22,27.3,63.6,3.86,OK
BOD007,MANAGEMENT,8,37.5,62.5,3.5,OK
BOD007,NOISE,17,5.9,76.5,4.41,OK
BOD007,POOL,24,29.2,54.2,3.54,OK
BOD007,PRICE_VALUE,19,36.8,52.6,3.32,OK
BOD007,REFUND_PAYMENT,5,40.0,40.0,3.2,OK
BOD007,RESERVATION,10,40.0,60.0,3.3,OK
BOD007,ROOM,35,25.7,60.0,3.66,OK
BOD007,SERVICE,21,47.6,38.1,2.86,OK
BOD007,STAFF,39,20.5,71.8,3.97,OK
BOD007,WIFI,1,0.0,100.0,4.0,LOW_SUPPORT
BOD008,AIR_CONDITIONING,1,0.0,100.0,5.0,LOW_SUPPORT
BOD008,BAR_DRINKS,4,0.0,100.0,5.0,OK
BOD008,BEACH_SEA,9,0.0,100.0,5.0,OK
BOD008,BED_COMFORT,7,0.0,100.0,5.0,OK
BOD008,CLEANLINESS,14,0.0,100.0,5.0,OK
BOD008,FACILITIES,2,0.0,100.0,5.0,LOW_SUPPORT
BOD008,FAMILY_KIDS,5,0.0,100.0,5.0,OK
BOD008,FOOD,15,0.0,100.0,5.0,OK
BOD008,HYGIENE,1,0.0,100.0,5.0,LOW_SUPPORT
BOD008,LOCATION,5,0.0,100.0,5.0,OK
BOD008,MANAGEMENT,7,0.0,100.0,5.0,OK
BOD008,NOISE,7,0.0,100.0,5.0,OK
BOD008,POOL,9,0.0,100.0,5.0,OK
