hotel_id,hotel_name,area,n,mean_rating,median_rating,std,q25,q75,low_share,mid_share,high_share,sample_support
BOD001,Aksoy Taş Ev,Akyarlar,28,5.0,5.0,0.0,5.0,5.0,0.0,0.0,1.0,MODERATE
BOD002,Armonia Holiday Village & Spa,Akyarlar,10,3.6,4.0,1.577621275493231,3.0,5.0,0.2,0.2,0.6,LOW_SUPPORT
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,30,4.433333333333334,5.0,1.2507469032909713,5.0,5.0,0.133,0.033,0.833,MODERATE
BOD004,Bendis Beach Hotel,Akyarlar,10,2.0,1.0,1.4142135623730951,1.0,3.5,0.7,0.0,0.3,LOW_SUPPORT
BOD005,ByAkkan,Akyarlar,10,4.6,5.0,1.2649110640673518,5.0,5.0,0.1,0.0,0.9,LOW_SUPPORT
BOD006,Club Marma Hotel,Akyarlar,10,4.3,5.0,1.3374935098492586,4.25,5.0,0.1,0.1,0.8,LOW_SUPPORT
BOD007,Kefaluka Resort,Akyarlar,60,4.066666666666666,5.0,1.4364110958072525,3.0,5.0,0.183,0.083,0.733,STRONGER
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,20,5.0,5.0,0.0,5.0,5.0,0.0,0.0,1.0,MODERATE
BOD010,Mare Garden Hotel,Akyarlar,10,3.2,3.5,1.6865480854231356,1.5,4.75,0.3,0.2,0.5,LOW_SUPPORT
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,10,4.8,5.0,0.6324555320336761,5.0,5.0,0.0,0.1,0.9,LOW_SUPPORT
BOD012,Selectum Collection Bodrum,Akyarlar,10,4.1,5.0,1.4491376746189437,4.0,5.0,0.2,0.0,0.8,LOW_SUPPORT
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,72,4.027777777777778,5.0,1.363221352885879,3.75,5.0,0.181,0.069,0.75,STRONGER
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,10,4.6,5.0,0.9660917830792958,5.0,5.0,0.1,0.0,0.9,LOW_SUPPORT
BOD016,Xanadu Island,Akyarlar,10,3.8,5.0,1.7511900715418263,2.5,5.0,0.3,0.0,0.7,LOW_SUPPORT
BOD020,Bitez Risa Hotel,Bitez,50,4.32,5.0,1.1682884743006212,4.0,5.0,0.1,0.08,0.82,STRONGER
BOD024,HAKAN OTEL,Bitez,10,4.1,5.0,1.4491376746189437,4.0,5.0,0.2,0.0,0.8,LOW_SUPPORT
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,10,2.4,1.0,1.8973665961010275,1.0,4.5,0.6,0.1,0.3,LOW_SUPPORT
BOD026,Manuela Otel Bitez,Bitez,10,5.0,5.0,0.0,5.0,5.0,0.0,0.0,1.0,LOW_SUPPORT
BOD030,Natur Garden Hotel Bitez Bodrum,Bitez,10,2.6,2.0,1.776388345929897,1.0,4.0,0.5,0.1,0.4,LOW_SUPPORT
BOD031,Okaliptus Otel,Bitez,10,3.5,5.0,1.9578900207451218,1.25,5.0,0.4,0.0,0.6,LOW_SUPPORT
BOD032,Paloma Family Club Bitez,Bitez,60,4.583333333333333,5.0,0.8692811498670175,4.0,5.0,0.033,0.05,0.917,STRONGER
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,39,4.717948717948718,5.0,0.9444775205237173,5.0,5.0,0.051,0.026,0.923,MODERATE
BOD034,Çınar Butik Otel Bodrum,Bitez,10,2.7,1.5,2.0027758514399734,1.0,5.0,0.6,0.0,0.4,LOW_SUPPORT
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,10,5.0,5.0,0.0,5.0,5.0,0.0,0.0,1.0,LOW_SUPPORT
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,10,4.6,5.0,0.843274042711568,5.0,5.0,0.0,0.2,0.8,LOW_SUPPORT
BOD045,Salmakis Resort & Spa,Bodrum Merkez,64,3.859375,4.5,1.4678262461507108,3.0,5.0,0.219,0.062,0.719,STRONGER
BOD048,Babana Hotel,Göltürkbükü,10,5.0,5.0,0.0,5.0,5.0,0.0,0.0,1.0,LOW_SUPPORT
BOD049,Casa Del Mar Bodrum,Göltürkbükü,26,3.5,5.0,1.794435844492636,1.25,5.0,0.346,0.077,0.577,MODERATE
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,21,4.523809523809524,5.0,1.0304876330673562,5.0,5.0,0.048,0.095,0.857,MODERATE
BOD052,Flamm Bodrum,Göltürkbükü,69,4.463768115942029,5.0,1.1953305000135213,5.0,5.0,0.13,0.014,0.855,STRONGER
BOD054,Lavinya Maison,Göltürkbükü,10,4.6,5.0,0.9660917830792958,5.0,5.0,0.1,0.0,0.9,LOW_SUPPORT
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,10,4.6,5.0,1.2649110640673518,5.0,5.0,0.1,0.0,0.9,LOW_SUPPORT
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,40,4.6,5.0,1.127738831376694,5.0,5.0,0.075,0.05,0.875,MODERATE
BOD057,Selvi Bodrum,Göltürkbükü,79,3.5063291139240507,4.0,1.4489024822657564,3.0,5.0,0.228,0.266,0.506,STRONGER
BOD058,Bodrum Beach Resort,Gümbet,10,4.4,5.0,1.07496769977314,4.25,5.0,0.1,0.1,0.8,LOW_SUPPORT
BOD060,Club Shark Hotel,Gümbet,78,4.3076923076923075,5.0,1.3704458683661598,4.0,5.0,0.141,0.013,0.846,STRONGER
BOD061,Gümbet Anıl Beach,Gümbet,65,4.0,5.0,1.369306393762915,3.0,5.0,0.154,0.138,0.708,STRONGER
BOD063,Jasmin Beach Hotel,Gümbet,30,3.7666666666666666,5.0,1.7356968854500259,2.25,5.0,0.267,0.1,0.633,MODERATE
