term,document_frequency,document_frequency_pct
guzel,786,34.38
her,786,34.38
guler,610,26.68
tesekkur,599,26.2
otelin,546,23.88
daha,531,23.23
iyi,509,22.27
odalar,497,21.74
ama,495,21.65
gun,488,21.35
memnun,482,21.08
var,477,20.87
ozellikle,477,20.87
temiz,469,20.52
yuzlu,429,18.77
kadar,425,18.59
tatil,424,18.55
kaldik,420,18.37
gercekten,404,17.67
yemekler,404,17.67
tavsiye,403,17.63
ilgili,401,17.54
tum,395,17.28
tekrar,359,15.7
oda,352,15.4
otelde,348,15.22
deniz,346,15.14
hizmet,345,15.09
ederiz,340,14.87
tercih,338,14.79
ederim,335,14.65
bey,328,14.35
konumu,321,14.04
oldu,317,13.87
personel,313,13.69
harika,312,13.65
sey,309,13.52
kesinlikle,305,13.34
kahvalti,298,13.04
ayrica,296,12.95
