hotel_id,hotel_name,rows_added_this_batch,unique_rows_in_file
BOD001,Aksoy Taş Ev,20,20
BOD002,Armonia Holiday Village & Spa,10,10
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,20,20
BOD004,Bendis Beach Hotel,10,10
BOD005,ByAkkan,10,10
BOD006,Club Marma Hotel,10,10
BOD007,Kefaluka Resort,20,50
BOD008,LA BREZZA SUITE &HOTEL,0,20
BOD010,Mare Garden Hotel,10,10
BOD011,"Radisson Collection Hotel, Bodrum",10,10
BOD012,Selectum Collection Bodrum,0,10
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",20,50
BOD014,Suum Bodrum Hotel & Beach,10,10
BOD016,Xanadu Island,10,10
BOD020,Bitez Risa Hotel,20,20
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",0,0
BOD024,HAKAN OTEL,11,11
BOD025,Halikarya Hotel & Restaurant Beach,10,10
BOD026,Manuela Otel Bitez,10,10
BOD030,Natur Garden Hotel Bitez Bodrum,10,10
BOD031,Okaliptus Otel,10,10
BOD032,Paloma Family Club Bitez,20,20
BOD033,Ramada Resort by Wyndham Bodrum,20,20
BOD034,Çınar Butik Otel Bodrum,10,10
BOD036,Bodrium Hotel & SPA,0,10
BOD043,METT Hotel & Beach Resort Bodrum,0,10
BOD045,Salmakis Resort & Spa,20,40
BOD048,Babana Hotel,10,10
BOD049,Casa Del Mar Bodrum,20,20
BOD051,Faros Bodrum Hotel Göltürkbükü,1,21
BOD052,Flamm Bodrum,20,20
BOD054,Lavinya Maison,10,10
BOD055,Lavinya Otel Göltürkbükü,0,10
BOD056,"Mandarin Oriental, Bodrum",10,40
BOD057,Selvi Bodrum,20,20
BOD058,Bodrum Beach Resort,0,10
BOD060,Club Shark Hotel,20,20
BOD061,Gümbet Anıl Beach,20,20
BOD063,Jasmin Beach Hotel,20,20
BOD064,Jasmin Elite Residence & Spa,20,20
BOD065,Mirada Exclusive Bodrum,1,21
BOD066,Royal Asarlik Beach Hotel & Spa,0,10
BOD067,Sami Beach Hotel,20,20
BOD068,Selectum Colours Bodrum,10,10
BOD070,The Luvi Hotel,10,30
BOD071,Tropicana Beach Hotel,20,20
BOD073,Arriba Apartment & Restaurant & Bungalows,20,20
BOD074,Begonvil Gümüşlük,20,20
BOD077,Ladonia Hotels Zemda,20,20
BOD080,Myndos Oda & kahvalti,10,10
BOD086,Vega Aparts,10,10
BOD087,Wanderheaven Camping & Tiny House Bodrum,10,10
BOD088,Baia Bodrum Hotel,20,20
BOD089,Cape Bodrum Luxury Hotel & Beach,20,20
BOD090,Costa Farilya Special Class Hotel Bodrum,10,10
BOD095,Mivara Luxury Bodrum,10,10
BOD096,Olira Boutique Hotel&SPA,10,10
BOD098,Swissôtel Living Bodrum,20,20
BOD099,Villa Oliva Butik Otel,10,10
BOD101,Vita Bella Hotel Resort & Spa,0,0
BOD102,Akyalı Butik Hotel,10,10
BOD104,Greenport Bodrum,20,20
BOD105,İsolina Hotel,20,20
BOD106,La Blanche Island Bodrum,11,11
BOD107,Le Méridien Bodrum Beach Resort,10,10
BOD108,Lujo Hotel Bodrum,10,10
BOD109,Oscar Seaside Hotel & Spa,20,20
BOD111,Zena Hotel Bodrum,20,20
BOD113,Kadıkale Resort,0,12
BOD116,Acropol Of Bodrum Beach Hotel - Restaurant,0,0
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",10,10
BOD120,Celeste Bella Luxury Hotel & Spa,10,10
BOD122,Florida Otel,10,10
BOD123,Hotel Marma Beach,20,20
BOD125,Kefi Beach Bodrum,20,20
BOD126,Khai Hotel Bodrum,10,10
BOD127,Kriss Hotel,20,20
BOD128,Lugga Boutique Hotel & Beach,20,20
BOD129,Meggs Bodrum,20,20
BOD130,Petunya Beach Resort,10,10
BOD131,Regia Mare Beach Hotel Bodrum,20,20
BOD132,Viras Hotel & Beach,20,20
BOD133,Yahşi Beach Hotel & Restaurant,10,10
BOD134,Yakamoz Otel,10,10
BOD136,Zest Exclusive Hotel and Spa,10,10
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,10,10
BOD143,Hotel Zeytinada,10,10
BOD145,Moyo Luxury Hotel & Beach,20,20
BOD146,Olivia Hotel,20,20
BOD147,Omar Hotel & Suites,10,10
BOD148,Rixos Premium Bodrum,20,20
BOD150,Samara Hotel,20,20
BOD152,"Susona Bodrum, LXR Hotels & Resorts",20,20
BOD153,The Oba Hotel,10,10
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,10,10
BOD156,Voyage Torba,10,10
BOD161,MyElla Hotel Resort & Spa,10,10
BOD162,Rammos Managed by Dedeman,20,20
BOD166,Divan Bodrum,10,10
BOD167,Elista Hotel & Spa,11,11
BOD168,Kuum Hotel & SPA Bodrum,20,20
BOD169,MACAKIZI BODRUM,10,10
BOD171,4 reasons Hotel Yalikavak,20,20
BOD180,MGallery The Bodrum Hotel Yalıkavak,10,10
BOD189,The Bodrum EDITION,20,20
BOD190,The Sign Highlight Hotel,20,20
BOD191,Yalıkavak Marina Hotel by METT Collection,0,0
