hotel_id,hotel_name,area,n_reviews,mean_rating,median_rating,low_share,high_share,median_word_count,details_coverage_pct,google_source_share_pct,sample_support,analysis_confidence,top_aspects,top_strength_signals,top_concern_signals
BOD001,Aksoy Taş Ev,Akyarlar,28,5.0,5.0,0.0,1.0,42.0,64.3,100.0,MODERATE,MEDIUM,BEACH_SEA;ROOM;FOOD;LOCATION;CLEANLINESS,BEACH_SEA;ROOM;FOOD,
BOD002,Armonia Holiday Village & Spa,Akyarlar,10,3.6,4.0,0.2,0.6,115.0,80.0,90.0,LOW_SUPPORT,LOW,ROOM;FOOD;BAR_DRINKS;BED_COMFORT;STAFF,ROOM;FOOD;BAR_DRINKS,CLEANLINESS;NOISE;POOL
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,30,4.433333333333334,5.0,0.133,0.833,26.5,90.0,100.0,MODERATE,MEDIUM,BEACH_SEA;STAFF;ROOM;CLEANLINESS;LOCATION,BEACH_SEA;STAFF;ROOM,SERVICE;MANAGEMENT;REFUND_PAYMENT
BOD004,Bendis Beach Hotel,Akyarlar,10,2.0,1.0,0.7,0.3,164.5,90.0,90.0,LOW_SUPPORT,LOW,ROOM;CLEANLINESS;FAMILY_KIDS;STAFF;PRICE_VALUE,ANIMATION_ENTERTAINMENT;REFUND_PAYMENT,ROOM;CLEANLINESS;FAMILY_KIDS
BOD005,ByAkkan,Akyarlar,10,4.6,5.0,0.1,0.9,42.0,80.0,90.0,LOW_SUPPORT,LOW,STAFF;FOOD;CLEANLINESS;ROOM;SERVICE,FOOD;STAFF;ROOM,HYGIENE;MANAGEMENT;PRICE_VALUE
BOD006,Club Marma Hotel,Akyarlar,10,4.3,5.0,0.1,0.8,48.5,80.0,100.0,LOW_SUPPORT,LOW,BEACH_SEA;FOOD;STAFF;ROOM;CLEANLINESS,BEACH_SEA;FOOD;STAFF,MANAGEMENT;BAR_DRINKS;WIFI
BOD007,Kefaluka Resort,Akyarlar,60,4.066666666666666,5.0,0.183,0.733,79.0,90.0,98.3,STRONGER,HIGH,STAFF;FOOD;ANIMATION_ENTERTAINMENT;ROOM;BEACH_SEA,STAFF;FOOD;ANIMATION_ENTERTAINMENT,SERVICE;RESERVATION;REFUND_PAYMENT
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,20,5.0,5.0,0.0,1.0,43.5,95.0,95.0,MODERATE,MEDIUM,ROOM;STAFF;FOOD;CLEANLINESS;BEACH_SEA,ROOM;STAFF;FOOD,
BOD010,Mare Garden Hotel,Akyarlar,10,3.2,3.5,0.3,0.5,95.5,100.0,100.0,LOW_SUPPORT,LOW,BEACH_SEA;STAFF;CLEANLINESS;ROOM;FOOD,COMMUNICATION,LOCATION;HYGIENE;BAR_DRINKS
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,10,4.8,5.0,0.0,0.9,46.5,50.0,90.0,LOW_SUPPORT,LOW,STAFF;FOOD;BEACH_SEA;CLEANLINESS;SERVICE,STAFF;BEACH_SEA;FOOD,
BOD012,Selectum Collection Bodrum,Akyarlar,10,4.1,5.0,0.2,0.8,138.5,90.0,90.0,LOW_SUPPORT,LOW,FOOD;NOISE;STAFF;CLEANLINESS;ANIMATION_ENTERTAINMENT,FOOD;NOISE;ANIMATION_ENTERTAINMENT,FAMILY_KIDS
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,72,4.027777777777778,5.0,0.181,0.75,46.5,52.8,91.7,STRONGER,HIGH,FOOD;ROOM;STAFF;CLEANLINESS;BEACH_SEA,FOOD;ROOM;STAFF,RESERVATION;HYGIENE;AIR_CONDITIONING
