hotel_id,hotel_name,rows_added_this_batch,unique_rows_in_file
BOD001,Aksoy Taş Ev,8,28
BOD002,Armonia Holiday Village & Spa,0,10
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,10,30
BOD004,Bendis Beach Hotel,0,10
BOD005,ByAkkan,0,10
BOD006,Club Marma Hotel,0,10
BOD007,Kefaluka Resort,10,60
BOD008,LA BREZZA SUITE &HOTEL,0,20
BOD010,Mare Garden Hotel,0,10
BOD011,"Radisson Collection Hotel, Bodrum",0,10
BOD012,Selectum Collection Bodrum,0,10
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",22,72
BOD014,Suum Bodrum Hotel & Beach,0,10
BOD016,Xanadu Island,0,10
BOD020,Bitez Risa Hotel,30,50
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",0,0
BOD024,HAKAN OTEL,0,11
BOD025,Halikarya Hotel & Restaurant Beach,0,10
BOD026,Manuela Otel Bitez,0,10
BOD030,Natur Garden Hotel Bitez Bodrum,0,10
BOD031,Okaliptus Otel,0,10
BOD032,Paloma Family Club Bitez,40,60
BOD033,Ramada Resort by Wyndham Bodrum,19,39
BOD034,Çınar Butik Otel Bodrum,0,10
BOD036,Bodrium Hotel & SPA,0,10
BOD043,METT Hotel & Beach Resort Bodrum,0,10
BOD045,Salmakis Resort & Spa,24,64
BOD048,Babana Hotel,0,10
BOD049,Casa Del Mar Bodrum,6,26
BOD051,Faros Bodrum Hotel Göltürkbükü,0,21
BOD052,Flamm Bodrum,49,69
BOD054,Lavinya Maison,0,10
BOD055,Lavinya Otel Göltürkbükü,0,10
BOD056,"Mandarin Oriental, Bodrum",0,40
BOD057,Selvi Bodrum,60,80
BOD058,Bodrum Beach Resort,0,10
BOD060,Club Shark Hotel,58,78
BOD061,Gümbet Anıl Beach,45,65
BOD063,Jasmin Beach Hotel,10,30
BOD064,Jasmin Elite Residence & Spa,9,29
BOD065,Mirada Exclusive Bodrum,0,21
BOD066,Royal Asarlik Beach Hotel & Spa,0,10
BOD067,Sami Beach Hotel,39,59
BOD068,Selectum Colours Bodrum,0,10
BOD070,The Luvi Hotel,0,30
BOD071,Tropicana Beach Hotel,5,25
BOD073,Arriba Apartment & Restaurant & Bungalows,6,26
BOD074,Begonvil Gümüşlük,8,28
BOD077,Ladonia Hotels Zemda,0,20
BOD080,Myndos Oda & kahvalti,0,10
BOD086,Vega Aparts,0,10
BOD087,Wanderheaven Camping & Tiny House Bodrum,0,10
BOD088,Baia Bodrum Hotel,0,20
BOD089,Cape Bodrum Luxury Hotel & Beach,0,20
BOD090,Costa Farilya Special Class Hotel Bodrum,0,10
BOD095,Mivara Luxury Bodrum,0,10
BOD096,Olira Boutique Hotel&SPA,0,10
BOD098,Swissôtel Living Bodrum,10,30
BOD099,Villa Oliva Butik Otel,0,10
BOD101,Vita Bella Hotel Resort & Spa,10,10
BOD102,Akyalı Butik Hotel,0,10
BOD104,Greenport Bodrum,7,27
BOD105,İsolina Hotel,22,42
BOD106,La Blanche Island Bodrum,0,11
BOD107,Le Méridien Bodrum Beach Resort,0,10
BOD108,Lujo Hotel Bodrum,0,10
BOD109,Oscar Seaside Hotel & Spa,23,43
BOD111,Zena Hotel Bodrum,10,30
BOD113,Kadıkale Resort,0,12
BOD116,Acropol Of Bodrum Beach Hotel - Restaurant,0,0
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",0,10
BOD120,Celeste Bella Luxury Hotel & Spa,0,10
BOD122,Florida Otel,0,10
BOD123,Hotel Marma Beach,12,32
BOD125,Kefi Beach Bodrum,10,30
BOD126,Khai Hotel Bodrum,0,10
BOD127,Kriss Hotel,9,29
BOD128,Lugga Boutique Hotel & Beach,67,87
BOD129,Meggs Bodrum,0,20
BOD130,Petunya Beach Resort,0,10
BOD131,Regia Mare Beach Hotel Bodrum,0,20
BOD132,Viras Hotel & Beach,2,22
BOD133,Yahşi Beach Hotel & Restaurant,0,10
BOD134,Yakamoz Otel,0,10
BOD136,Zest Exclusive Hotel and Spa,0,10
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,0,10
BOD143,Hotel Zeytinada,0,10
BOD145,Moyo Luxury Hotel & Beach,9,29
BOD146,Olivia Hotel,24,44
BOD147,Omar Hotel & Suites,0,10
BOD148,Rixos Premium Bodrum,0,20
BOD150,Samara Hotel,0,20
BOD152,"Susona Bodrum, LXR Hotels & Resorts",0,20
BOD153,The Oba Hotel,0,10
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,0,10
BOD156,Voyage Torba,0,10
BOD161,MyElla Hotel Resort & Spa,0,10
BOD162,Rammos Managed by Dedeman,0,20
BOD166,Divan Bodrum,0,10
BOD167,Elista Hotel & Spa,0,11
BOD168,Kuum Hotel & SPA Bodrum,0,20
BOD169,MACAKIZI BODRUM,0,10
BOD171,4 reasons Hotel Yalikavak,13,33
BOD180,MGallery The Bodrum Hotel Yalıkavak,0,10
BOD189,The Bodrum EDITION,13,33
BOD190,The Sign Highlight Hotel,0,20
BOD191,Yalıkavak Marina Hotel by METT Collection,0,0
