hotel_id,hotel_name,area,customer_voice_support,google_travel_mean_rating,trip_mean_rating_5,google_strength_signals,google_concern_signals,archetypes
BOD002,Armonia Holiday Village & Spa,Akyarlar,MEDIUM,3.6,3.8181818181818175,ROOM;FOOD;BAR_DRINKS,CLEANLINESS;NOISE;POOL,family_oriented_profile;wellness_oriented_profile
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,HIGH,4.433333333333334,3.678571428571429,BEACH_SEA;STAFF;ROOM,SERVICE;MANAGEMENT;REFUND_PAYMENT,platform_consistent_strong_profile;source_divergent_profile
BOD004,Bendis Beach Hotel,Akyarlar,MEDIUM,2.0,3.954545454545455,ANIMATION_ENTERTAINMENT;REFUND_PAYMENT,ROOM;CLEANLINESS;FAMILY_KIDS,platform_consistent_concern_profile;family_oriented_profile;beach_oriented_profile;wellness_oriented_profile;source_divergent_profile
BOD007,Kefaluka Resort,Akyarlar,HIGH,4.066666666666666,4.259090909090909,STAFF;FOOD;ANIMATION_ENTERTAINMENT,SERVICE;RESERVATION;REFUND_PAYMENT,platform_consistent_strong_profile;family_oriented_profile;beach_oriented_profile;wellness_oriented_profile
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,HIGH,5.0,4.009090909090909,ROOM;STAFF;FOOD,,platform_consistent_strong_profile;family_oriented_profile;source_divergent_profile
BOD010,Mare Garden Hotel,Akyarlar,MEDIUM,3.2,4.0,COMMUNICATION,LOCATION;HYGIENE;BAR_DRINKS,platform_consistent_concern_profile;beach_oriented_profile
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,MEDIUM,4.8,4.75,STAFF;BEACH_SEA;FOOD,,platform_consistent_strong_profile;wellness_oriented_profile
BOD012,Selectum Collection Bodrum,Akyarlar,MEDIUM,4.1,4.613636363636363,FOOD;NOISE;ANIMATION_ENTERTAINMENT,FAMILY_KIDS,platform_consistent_strong_profile;family_oriented_profile;wellness_oriented_profile
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,HIGH,4.027777777777778,4.375,FOOD;ROOM;STAFF,RESERVATION;HYGIENE;AIR_CONDITIONING,platform_consistent_strong_profile;family_oriented_profile;wellness_oriented_profile
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,MEDIUM,4.6,3.5454545454545454,BAR_DRINKS;ROOM;CLEANLINESS,MANAGEMENT,platform_consistent_strong_profile;wellness_oriented_profile;source_divergent_profile
BOD016,Xanadu Island,Akyarlar,MEDIUM,3.8,4.909090909090909,CLEANLINESS;BAR_DRINKS;ROOM,LOCATION;COMMUNICATION;MANAGEMENT,platform_consistent_strong_profile;platform_consistent_concern_profile;wellness_oriented_profile;source_divergent_profile
BOD020,Bitez Risa Hotel,Bitez,HIGH,4.32,3.75,STAFF;FOOD;PRICE_VALUE,NOISE;RESERVATION;HYGIENE,platform_consistent_strong_profile;family_oriented_profile
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,HIGH,2.4,4.4523809523809526,,CLEANLINESS;ROOM;STAFF,platform_consistent_concern_profile;source_divergent_profile
BOD031,Okaliptus Otel,Bitez,HIGH,3.5,3.3191489361702127,BEACH_SEA;STAFF;BAR_DRINKS,ROOM;FOOD;CLEANLINESS,platform_consistent_concern_profile
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,HIGH,4.717948717948718,4.28671875,ROOM;CLEANLINESS;LOCATION,AIR_CONDITIONING,platform_consistent_strong_profile;wellness_oriented_profile
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,HIGH,5.0,4.696031746031746,STAFF;CLEANLINESS;FOOD,,platform_consistent_strong_profile;wellness_oriented_profile
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,HIGH,4.6,4.588888888888889,SERVICE;ROOM;STAFF,,platform_consistent_strong_profile;beach_oriented_profile;wellness_oriented_profile
BOD045,Salmakis Resort & Spa,Bodrum Merkez,HIGH,3.859375,3.872549019607843,FOOD;STAFF;CLEANLINESS,SERVICE;CHECKIN_CHECKOUT;MANAGEMENT,platform_consistent_strong_profile;family_oriented_profile;beach_oriented_profile;wellness_oriented_profile
BOD048,Babana Hotel,Göltürkbükü,MEDIUM,5.0,4.0,STAFF;FOOD;BEACH_SEA,,platform_consistent_strong_profile;family_oriented_profile;source_divergent_profile
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,HIGH,4.523809523809524,3.1818181818181817,STAFF;BEACH_SEA;FOOD,,platform_consistent_strong_profile;platform_consistent_concern_profile;source_divergent_profile
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,MEDIUM,4.6,4.2727272727272725,BEACH_SEA;STAFF;FOOD,BAR_DRINKS,platform_consistent_strong_profile
