hotel_id,hotel_name,area,amenity_count,family_feature_count,wellness_feature_count,water_feature_count,policy_coverage,google_review_n,google_rating,trip_review_n,trip_rating,source_count,support
BOD001,,,,,,,,28.0,5.0,,,1,SINGLE_SOURCE
BOD002,Armonia Holiday Village & Spa,Akyarlar,11.0,4.0,3.0,1.0,PARTIAL,10.0,3.6,11.0,3.8181818181818175,2,MULTI_SOURCE
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,3.0,1.0,0.0,1.0,PARTIAL,30.0,4.433333333333334,28.0,3.678571428571429,2,MULTI_SOURCE
BOD004,Bendis Beach Hotel,Akyarlar,12.0,3.0,3.0,2.0,PARTIAL,10.0,2.0,11.0,3.954545454545455,2,MULTI_SOURCE
BOD005,,,,,,,,10.0,4.6,,,1,SINGLE_SOURCE
BOD006,,,,,,,,10.0,4.3,,,1,SINGLE_SOURCE
BOD007,Kefaluka Resort,Akyarlar,15.0,4.0,3.0,3.0,PARTIAL,60.0,4.066666666666666,11.0,4.259090909090909,2,MULTI_SOURCE
BOD008,LA BREZZA SUITE &HOTEL,Akyarlar,7.0,2.0,0.0,0.0,PARTIAL,20.0,5.0,11.0,4.009090909090909,2,MULTI_SOURCE
BOD010,Mare Garden Hotel,Akyarlar,8.0,1.0,0.0,3.0,PARTIAL,10.0,3.2,2.0,4.0,2,MULTI_SOURCE
BOD011,"Radisson Collection Hotel, Bodrum",Akyarlar,11.0,1.0,3.0,1.0,PARTIAL,10.0,4.8,11.0,4.75,2,MULTI_SOURCE
BOD012,Selectum Collection Bodrum,Akyarlar,12.0,3.0,3.0,1.0,PARTIAL,10.0,4.1,11.0,4.613636363636363,2,MULTI_SOURCE
BOD013,"Sentido Bellazure - Akyarlar, Bodrum / Turkey",Akyarlar,11.0,2.0,3.0,0.0,PARTIAL,72.0,4.027777777777778,8.0,4.375,2,MULTI_SOURCE
BOD014,Suum Bodrum Hotel & Beach,Akyarlar,5.0,1.0,2.0,1.0,COMPLETE,10.0,4.6,11.0,3.5454545454545454,2,MULTI_SOURCE
BOD016,Xanadu Island,Akyarlar,11.0,1.0,3.0,1.0,PARTIAL,10.0,3.8,11.0,4.909090909090909,2,MULTI_SOURCE
BOD017,Ambrosia Otel Beach & Spa,Bitez,0.0,1.0,0.0,0.0,PARTIAL,,,50.0,4.355,1,SINGLE_SOURCE
BOD020,Bitez Risa Hotel,Bitez,9.0,2.0,1.0,0.0,PARTIAL,50.0,4.32,50.0,3.75,2,MULTI_SOURCE
BOD021,"Caresse, a Luxury Collection Resort & Spa, Bodrum",Bitez,17.0,4.0,3.0,3.0,PARTIAL,,,43.0,4.593023255813954,1,SINGLE_SOURCE
BOD024,,,,,,,,10.0,4.1,,,1,SINGLE_SOURCE
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,2.0,1.0,0.0,1.0,PARTIAL,10.0,2.4,21.0,4.4523809523809526,2,MULTI_SOURCE
BOD026,,,,,,,,10.0,5.0,,,1,SINGLE_SOURCE
BOD029,Mumu Bodrum Hotel,Bitez,2.0,1.0,0.0,0.0,PARTIAL,,,19.0,4.894736842105263,1,SINGLE_SOURCE
BOD030,,,,,,,,10.0,2.6,,,1,SINGLE_SOURCE
BOD031,Okaliptus Otel,Bitez,8.0,1.0,0.0,1.0,PARTIAL,10.0,3.5,47.0,3.3191489361702127,2,MULTI_SOURCE
BOD032,,,,,,,,60.0,4.583333333333333,,,1,SINGLE_SOURCE
BOD033,Ramada Resort by Wyndham Bodrum,Bitez,11.0,1.0,3.0,0.0,PARTIAL,39.0,4.717948717948718,64.0,4.28671875,2,MULTI_SOURCE
BOD034,,,,,,,,10.0,2.7,,,1,SINGLE_SOURCE
BOD036,Bodrium Hotel & SPA,Bodrum Merkez,9.0,1.0,3.0,1.0,PARTIAL,10.0,5.0,63.0,4.696031746031746,2,MULTI_SOURCE
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,10.0,1.0,1.0,1.0,PARTIAL,,,59.0,4.237288135593221,1,SINGLE_SOURCE
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,13.0,1.0,3.0,3.0,PARTIAL,10.0,4.6,90.0,4.588888888888889,2,MULTI_SOURCE
BOD045,Salmakis Resort & Spa,Bodrum Merkez,16.0,4.0,3.0,2.0,PARTIAL,64.0,3.859375,51.0,3.872549019607843,2,MULTI_SOURCE
BOD048,Babana Hotel,Göltürkbükü,9.0,2.0,0.0,1.0,PARTIAL,10.0,5.0,12.0,4.0,2,MULTI_SOURCE
BOD049,,,,,,,,26.0,3.5,,,1,SINGLE_SOURCE
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,4.0,1.0,0.0,1.0,PARTIAL,21.0,4.523809523809524,11.0,3.1818181818181817,2,MULTI_SOURCE
BOD052,,,,,,,,69.0,4.463768115942029,,,1,SINGLE_SOURCE
BOD054,,,,,,,,10.0,4.6,,,1,SINGLE_SOURCE
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,7.0,1.0,0.0,1.0,PARTIAL,10.0,4.6,11.0,4.2727272727272725,2,MULTI_SOURCE
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,17.0,4.0,3.0,3.0,PARTIAL,40.0,4.6,11.0,4.636363636363637,2,MULTI_SOURCE
BOD057,,,,,,,,79.0,3.5063291139240507,,,1,SINGLE_SOURCE
BOD058,Bodrum Beach Resort,Gümbet,4.0,1.0,0.0,0.0,PARTIAL,10.0,4.4,11.0,3.840909090909091,2,MULTI_SOURCE
BOD059,Bodrum Hotel Baba,Gümbet,9.0,1.0,1.0,1.0,PARTIAL,,,11.0,2.272727272727273,1,SINGLE_SOURCE
BOD060,Club Shark Hotel,Gümbet,9.0,1.0,3.0,1.0,PARTIAL,78.0,4.307692307692308,43.0,4.325581395348837,2,MULTI_SOURCE
BOD061,Gümbet Anıl Beach,Gümbet,6.0,2.0,0.0,1.0,PARTIAL,65.0,4.0,41.0,4.219512195121951,2,MULTI_SOURCE
BOD063,,,,,,,,30.0,3.7666666666666666,,,1,SINGLE_SOURCE
BOD064,Jasmin Elite Residence & Spa,Gümbet,6.0,1.0,2.0,0.0,PARTIAL,29.0,3.793103448275862,88.0,4.573863636363637,2,MULTI_SOURCE
BOD065,Mirada Exclusive Bodrum,Gümbet,13.0,4.0,3.0,1.0,PARTIAL,21.0,4.428571428571429,63.0,4.920634920634921,2,MULTI_SOURCE
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,10.0,2.0,0.0,1.0,PARTIAL,10.0,4.0200000000000005,74.0,3.79054054054054,2,MULTI_SOURCE
BOD067,,,,,,,,59.0,3.8135593220338975,,,1,SINGLE_SOURCE
BOD068,Selectum Colours Bodrum,Gümbet,0.0,1.0,0.0,0.0,PARTIAL,10.0,3.9,45.0,3.9166666666666665,2,MULTI_SOURCE
BOD070,,,,,,,,30.0,3.733333333333333,,,1,SINGLE_SOURCE
BOD071,,,,,,,,25.0,3.36,12.0,3.9166666666666665,2,MULTI_SOURCE
BOD072,VERY CHIC BODRUM,Gümbet,5.0,1.0,1.0,0.0,PARTIAL,,,11.0,4.75,1,SINGLE_SOURCE
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,2.0,1.0,0.0,0.0,PARTIAL,26.0,4.153846153846154,10.0,4.55,2,MULTI_SOURCE
BOD074,Begonvil Gümüşlük,Gümüşlük,1.0,1.0,0.0,0.0,PARTIAL,28.0,4.857142857142857,3.0,5.0,2,MULTI_SOURCE
BOD076,Gümüşlük No3,Gümüşlük,2.0,1.0,0.0,0.0,PARTIAL,,,6.0,4.666666666666667,1,SINGLE_SOURCE
BOD077,,,,,,,,20.0,2.05,,,1,SINGLE_SOURCE
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,8.0,1.0,0.0,2.0,PARTIAL,,,11.0,4.227272727272728,1,SINGLE_SOURCE
BOD080,,,,,,,,10.0,3.8,,,1,SINGLE_SOURCE
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,2.0,1.0,0.0,1.0,PARTIAL,,,28.0,4.160714285714286,1,SINGLE_SOURCE
BOD082,Otel Gümüşlük,Gümüşlük,6.0,1.0,0.0,0.0,PARTIAL,,,18.0,4.555555555555555,1,SINGLE_SOURCE
BOD085,Paradise Gümüşlük,Gümüşlük,3.0,1.0,0.0,0.0,PARTIAL,,,12.0,4.25,1,SINGLE_SOURCE
BOD086,Vega Aparts,Gümüşlük,7.0,1.0,0.0,0.0,PARTIAL,10.0,4.5,20.0,3.825,2,MULTI_SOURCE
BOD087,,,,,,,,10.0,3.2,,,1,SINGLE_SOURCE
BOD088,Baia Bodrum Hotel,Gündoğan,17.0,4.0,3.0,3.0,PARTIAL,20.0,3.7,40.0,4.23125,2,MULTI_SOURCE
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,12.0,2.0,3.0,1.0,PARTIAL,20.0,4.6,28.0,4.928571428571429,2,MULTI_SOURCE
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,10.0,1.0,3.0,1.0,PARTIAL,10.0,4.2,67.0,4.298507462686567,2,MULTI_SOURCE
BOD091,Gündoğan Suites,Gündoğan,2.0,1.0,0.0,0.0,PARTIAL,,,6.0,4.625,1,SINGLE_SOURCE
BOD095,Mivara Luxury Bodrum,Gündoğan,14.0,4.0,3.0,1.0,PARTIAL,10.0,3.9,58.0,4.741379310344827,2,MULTI_SOURCE
BOD096,Olira Boutique Hotel&SPA,Gündoğan,10.0,2.0,3.0,1.0,PARTIAL,10.0,5.0,27.0,4.814814814814815,2,MULTI_SOURCE
BOD097,OLİVE TREE HOTEL,Gündoğan,2.0,1.0,0.0,0.0,PARTIAL,,,11.0,4.363636363636363,1,SINGLE_SOURCE
BOD098,,,,,,,,30.0,4.633333333333334,,,1,SINGLE_SOURCE
BOD099,,,,,,,,10.0,5.0,,,1,SINGLE_SOURCE
BOD100,Villa Rustica Hotel,Gündoğan,7.0,1.0,0.0,0.0,PARTIAL,,,8.0,4.625,1,SINGLE_SOURCE
BOD101,,,,,,,,10.0,4.6,,,1,SINGLE_SOURCE
BOD102,,,,,,,,10.0,3.8,,,1,SINGLE_SOURCE
BOD104,,,,,,,,27.0,2.037037037037037,,,1,SINGLE_SOURCE
BOD105,,,,,,,,42.0,4.380952380952381,,,1,SINGLE_SOURCE
BOD106,La Blanche Island Bodrum,Güvercinlik,14.0,4.0,3.0,2.0,PARTIAL,11.0,3.727272727272727,57.0,4.789473684210527,2,MULTI_SOURCE
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,16.0,4.0,3.0,2.0,PARTIAL,10.0,4.5,44.0,4.403409090909091,2,MULTI_SOURCE
BOD108,Lujo Hotel Bodrum,Güvercinlik,10.0,4.0,1.0,1.0,PARTIAL,10.0,3.6,41.0,4.536585365853658,2,MULTI_SOURCE
BOD109,,,,,,,,43.0,4.116279069767442,,,1,SINGLE_SOURCE
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,15.0,4.0,3.0,3.0,PARTIAL,,,35.0,4.721428571428572,1,SINGLE_SOURCE
BOD111,Zena Hotel Bodrum,Güvercinlik,5.0,1.0,0.0,1.0,PARTIAL,30.0,3.8333333333333335,9.0,4.055555555555555,2,MULTI_SOURCE
BOD112,Azure By Yelken Hotel,Kadıkalesi,14.0,4.0,3.0,2.0,PARTIAL,,,41.0,4.298780487804878,1,SINGLE_SOURCE
BOD113,,,,,,,,11.0,3.0,,,1,SINGLE_SOURCE
