hotel_id,policy_status,fields_present,fields_total
BOD002,PARTIAL,8,10
BOD003,PARTIAL,7,10
BOD004,PARTIAL,8,10
BOD007,PARTIAL,8,10
BOD008,PARTIAL,8,10
BOD010,PARTIAL,7,10
BOD011,PARTIAL,7,10
BOD012,PARTIAL,8,10
BOD013,PARTIAL,7,10
BOD014,COMPLETE,9,10
BOD016,PARTIAL,7,10
BOD017,PARTIAL,6,10
BOD020,PARTIAL,8,10
BOD021,PARTIAL,9,10
BOD025,PARTIAL,6,10
BOD029,PARTIAL,7,10
BOD031,PARTIAL,9,10
BOD033,PARTIAL,8,10
BOD036,PARTIAL,8,10
BOD041,PARTIAL,8,10
BOD043,PARTIAL,8,10
BOD045,PARTIAL,8,10
BOD048,PARTIAL,8,10
BOD051,PARTIAL,8,10
BOD055,PARTIAL,8,10
BOD056,PARTIAL,8,10
BOD058,PARTIAL,8,10
BOD059,PARTIAL,8,10
BOD060,PARTIAL,8,10
BOD061,PARTIAL,8,10
BOD064,PARTIAL,8,10
BOD065,PARTIAL,8,10
BOD066,PARTIAL,8,10
BOD068,PARTIAL,7,10
BOD072,PARTIAL,7,10
BOD073,PARTIAL,9,10
BOD074,PARTIAL,4,10
BOD076,PARTIAL,5,10
BOD078,PARTIAL,8,10
BOD081,PARTIAL,6,10
BOD082,PARTIAL,8,10
BOD085,PARTIAL,5,10
BOD086,PARTIAL,8,10
BOD088,PARTIAL,9,10
BOD089,PARTIAL,8,10
BOD090,PARTIAL,9,10
BOD091,PARTIAL,6,10
BOD095,PARTIAL,7,10
BOD096,PARTIAL,7,10
BOD097,PARTIAL,7,10
BOD100,PARTIAL,9,10
BOD106,PARTIAL,9,10
BOD107,PARTIAL,8,10
BOD108,PARTIAL,8,10
BOD110,PARTIAL,9,10
BOD111,PARTIAL,9,10
BOD112,PARTIAL,8,10
BOD115,PARTIAL,8,10
BOD118,PARTIAL,7,10
BOD120,PARTIAL,7,10
BOD121,PARTIAL,7,10
BOD122,PARTIAL,7,10
BOD124,PARTIAL,8,10
BOD126,PARTIAL,9,10
BOD128,PARTIAL,9,10
BOD130,PARTIAL,8,10
BOD131,PARTIAL,8,10
BOD134,PARTIAL,7,10
BOD136,PARTIAL,9,10
BOD140,PARTIAL,9,10
BOD141,PARTIAL,8,10
BOD144,PARTIAL,5,10
BOD147,PARTIAL,8,10
BOD151,PARTIAL,6,10
BOD152,PARTIAL,9,10
BOD158,PARTIAL,8,10
BOD162,PARTIAL,9,10
BOD165,PARTIAL,9,10
BOD167,PARTIAL,9,10
BOD170,PARTIAL,8,10
BOD172,PARTIAL,6,10
BOD173,PARTIAL,8,10
BOD174,PARTIAL,8,10
BOD175,PARTIAL,8,10
BOD177,PARTIAL,8,10
BOD180,PARTIAL,9,10
BOD181,PARTIAL,7,10
BOD183,PARTIAL,9,10
BOD184,PARTIAL,7,10
BOD186,PARTIAL,9,10
BOD187,PARTIAL,9,10
BOD189,PARTIAL,9,10
BOD190,PARTIAL,9,10
BOD191,PARTIAL,9,10
BOD192,PARTIAL,7,10
